luz	cresc
Direta	1.6
Direta	1.6
Direta	1.9
Direta	1.9
Direta	2.1
Direta	2.1
Direta	2.1
Direta	2.1
Direta	2.1
Direta	2.4
Direta	2.5
Direta	2.5
Direta	2.7
Direta	3.4
Direta	3.4
Direta	3.7
Direta	3.9
Direta	4.1
Direta	4.8
Direta	6.3
Direta	6.5
Direta	7.2
Direta	8.8
Direta	9.4
Direta	9.5
Indireta	1.4
Indireta	1.9
Indireta	2.8
Indireta	3.1
Indireta	3.5
Indireta	3.5
Indireta	3.6
Indireta	3.9
Indireta	4.3
Indireta	4.5
Indireta	4.6
Indireta	4.8
Indireta	6.3
Indireta	6.5
Indireta	6.7
Indireta	6.7
Indireta	6.8
Indireta	6.9
Indireta	8.1
Indireta	8.6
Indireta	10.4
Indireta	12.7
Indireta	16.3
Indireta	16.8
Indireta	16.9
