area	tamanho
umida	13.8
umida	14.3
umida	14.5
umida	15
umida	15
umida	15.5
umida	15.5
umida	15.5
umida	15.6
umida	15.6
umida	15.8
umida	15.8
umida	15.8
umida	15.8
umida	16
umida	16
umida	16
umida	16.1
umida	16.1
umida	16.3
umida	16.3
umida	16.3
umida	16.3
umida	16.5
umida	16.5
umida	16.6
umida	16.6
umida	16.6
umida	16.8
umida	16.8
umida	16.9
umida	17
umida	17
umida	17.2
umida	17.4
seca	7.3
seca	7.6
seca	7.8
seca	7.8
seca	8
seca	8.2
seca	8.2
seca	8.3
seca	8.3
seca	8.4
seca	8.4
seca	8.4
seca	8.6
seca	8.6
seca	8.6
seca	8.6
seca	9
seca	9
seca	9
seca	9
seca	9.3
seca	9.3
seca	9.3
seca	9.6
seca	9.6
seca	9.8
seca	9.8
seca	10.4
seca	10.4
seca	10.9
seca	10.9
seca	11.7
seca	11.7
seca	12
