N	P	K	bloco	prod
0	0	0	1	3.029
0	0	0	2	3.857
0	0	0	3	2.448
0	0	0	4	2.448
0	0	0	5	3.543
0	0	0	6	4.314
0	0	1	1	2.438
0	0	1	2	3.086
0	0	1	3	3.771
0	0	1	4	4.657
0	0	1	5	1.962
0	0	1	6	3.21
0	1	0	1	3.448
0	1	0	2	3.6
0	1	0	3	3.895
0	1	0	4	4.267
0	1	0	5	3.086
0	1	0	6	3.657
0	1	1	1	3.533
0	1	1	2	5.048
0	1	1	3	3.467
0	1	1	4	4.095
0	1	1	5	1.876
0	1	1	6	2.895
1	0	0	1	3.362
1	0	0	2	3.714
1	0	0	3	3.429
1	0	0	4	3.19
1	0	0	5	2.686
1	0	0	6	4.038
1	0	1	1	4.905
1	0	1	2	6.295
1	0	1	3	4.924
1	0	1	4	4.952
1	0	1	5	5.381
1	0	1	6	5.543
1	1	0	1	4.171
1	1	0	2	3.114
1	1	0	3	4.124
1	1	0	4	3.981
1	1	0	5	3.038
1	1	0	6	3.59
1	1	1	1	4.476
1	1	1	2	4.752
1	1	1	3	4.848
1	1	1	4	4.676
1	1	1	5	6.829
1	1	1	6	3.771
