cult	calag	P	rept	efic
BR 20 Guato	0	0	1	1255
BR 20 Guato	0	0	2	1250
BR 20 Guato	0	0	3	908
BR 20 Guato	0	0	4	1431
BR 20 Guato	0	87	1	556
BR 20 Guato	0	87	2	476
BR 20 Guato	0	87	3	588
BR 20 Guato	0	87	4	500
BR 20 Guato	4.4	0	1	714
BR 20 Guato	4.4	0	2	770
BR 20 Guato	4.4	0	3	667
BR 20 Guato	4.4	0	4	667
BR 20 Guato	4.4	87	1	417
BR 20 Guato	4.4	87	2	454
BR 20 Guato	4.4	87	3	454
BR 20 Guato	4.4	87	4	385
BR 36 Ianomami	0	0	1	1428
BR 36 Ianomami	0	0	2	1444
BR 36 Ianomami	0	0	3	1667
BR 36 Ianomami	0	0	4	1428
BR 36 Ianomami	0	87	1	625
BR 36 Ianomami	0	87	2	526
BR 36 Ianomami	0	87	3	667
BR 36 Ianomami	0	87	4	526
BR 36 Ianomami	4.4	0	1	769
BR 36 Ianomami	4.4	0	2	911
BR 36 Ianomami	4.4	0	3	1000
BR 36 Ianomami	4.4	0	4	1254
BR 36 Ianomami	4.4	87	1	370
BR 36 Ianomami	4.4	87	2	476
BR 36 Ianomami	4.4	87	3	417
BR 36 Ianomami	4.4	87	4	357
BR 40 Tuiuca	0	0	1	1660
BR 40 Tuiuca	0	0	2	1662
BR 40 Tuiuca	0	0	3	1667
BR 40 Tuiuca	0	0	4	1667
BR 40 Tuiuca	0	87	1	526
BR 40 Tuiuca	0	87	2	714
BR 40 Tuiuca	0	87	3	588
BR 40 Tuiuca	0	87	4	714
BR 40 Tuiuca	4.4	0	1	625
BR 40 Tuiuca	4.4	0	2	909
BR 40 Tuiuca	4.4	0	3	909
BR 40 Tuiuca	4.4	0	4	667
BR 40 Tuiuca	4.4	87	1	526
BR 40 Tuiuca	4.4	87	2	556
BR 40 Tuiuca	4.4	87	3	400
BR 40 Tuiuca	4.4	87	4	476
