data	inset	epoc	bloco	prod
1	0	1	1	25.7
1	0	2	1	31.8
1	0	3	1	34.6
1	1	1	1	27.7
1	1	2	1	38
1	1	3	1	42.1
2	0	1	1	28.9
2	0	2	1	37.5
2	0	3	1	38.4
2	1	1	1	38
2	1	2	1	36.9
2	1	3	1	44.2
3	0	1	1	23.4
3	0	2	1	25.3
3	0	3	1	29.8
3	1	1	1	20.8
3	1	2	1	29
3	1	3	1	36.6
1	0	1	2	25.4
1	0	2	2	29.5
1	0	3	2	37.2
1	1	1	2	30.3
1	1	2	2	40.6
1	1	3	2	43.6
2	0	1	2	24.7
2	0	2	2	31.5
2	0	3	2	32.5
2	1	1	2	31
2	1	2	2	31.9
2	1	3	2	41.6
3	0	1	2	24.2
3	0	2	2	27.7
3	0	3	2	29.9
3	1	1	2	23
3	1	2	2	32
3	1	3	2	37.8
1	0	1	3	23.8
1	0	2	3	28.7
1	0	3	3	29.1
1	1	1	3	30.2
1	1	2	3	34.6
1	1	3	3	44.6
2	0	1	3	27.8
2	0	2	3	31
2	0	3	3	31.2
2	1	1	3	29.5
2	1	2	3	31.5
2	1	3	3	38.9
3	0	1	3	21.2
3	0	2	3	23.7
3	0	3	3	24.3
3	1	1	3	25.2
3	1	2	3	26.5
3	1	3	3	34.8
1	0	1	4	22
1	0	2	4	26.4
1	0	3	4	23.7
1	1	1	4	33.2
1	1	2	4	31
1	1	3	4	42.7
2	0	1	4	23.4
2	0	2	4	27.8
2	0	3	4	29.8
2	1	1	4	30.7
2	1	2	4	35.9
2	1	3	4	37.6
3	0	1	4	20.9
3	0	2	4	24.3
3	0	3	4	23.8
3	1	1	4	23.1
3	1	2	4	31.2
3	1	3	4	40.2
