nitro	epoca	bloco	prod
0	E1	1	8.4
0	E2	1	15.6
0	E3	1	20.7
0	E4	1	24.8
0	E5	1	29.2
80	E1	1	10.1
80	E2	1	18.2
80	E3	1	23.1
80	E4	1	26.4
80	E5	1	29.3
160	E1	1	10.8
160	E2	1	18.5
160	E3	1	22.4
160	E4	1	34.2
160	E5	1	30.3
320	E1	1	10.4
320	E2	1	22.4
320	E3	1	24
320	E4	1	30.2
320	E5	1	30.8
0	E1	2	5.2
0	E2	2	12.5
0	E3	2	16.7
0	E4	2	21.3
0	E5	2	19.1
80	E1	2	10.8
80	E2	2	16.9
80	E3	2	21.2
80	E4	2	26
80	E5	2	31
160	E1	2	11.2
160	E2	2	20.9
160	E3	2	24.3
160	E4	2	29.2
160	E5	2	35.2
320	E1	2	10.3
320	E2	2	19.2
320	E3	2	25.9
320	E4	2	31.2
320	E5	2	34.2
0	E1	3	6.1
0	E2	3	10.5
0	E3	3	13.9
0	E4	3	13.6
0	E5	3	16.4
80	E1	3	9.5
80	E2	3	16.9
80	E3	3	20.4
80	E4	3	29.5
80	E5	3	26.6
160	E1	3	10.2
160	E2	3	16.9
160	E3	3	22.3
160	E4	3	28
160	E5	3	31.2
320	E1	3	9.8
320	E2	3	18.1
320	E3	3	23.9
320	E4	3	28.8
320	E5	3	30.9
0	E1	4	2.3
0	E2	4	8.8
0	E3	4	9.8
0	E4	4	10.1
0	E5	4	11.4
80	E1	4	9
80	E2	4	15.9
80	E3	4	20.9
80	E4	4	23.1
80	E5	4	23.2
160	E1	4	8.5
160	E2	4	17.2
160	E3	4	22.8
160	E4	4	28.7
160	E5	4	32.6
320	E1	4	7.4
320	E2	4	17.8
320	E3	4	22.8
320	E4	4	31.9
320	E5	4	29.2
