exper	bloco	genot	prod
1	1	Achat	17.22
1	1	AN-3	29.31
1	1	Apuã	37.09
1	1	Baronesa	29
1	1	Bintje	27.53
1	1	Carola	30.22
1	1	Elipsa	36.28
1	1	Matilda	23.97
1	1	Ômega	36.52
1	1	Radosa	27.97
1	2	Achat	19.38
1	2	AN-3	21.31
1	2	Apuã	31.42
1	2	Baronesa	27.31
1	2	Bintje	23.47
1	2	Carola	22.97
1	2	Elipsa	26.72
1	2	Matilda	19.75
1	2	Ômega	27.53
1	2	Radosa	21.34
1	3	Achat	18.75
1	3	AN-3	24.06
1	3	Apuã	31.72
1	3	Baronesa	31.09
1	3	Bintje	28.88
1	3	Carola	26.56
1	3	Elipsa	26.97
1	3	Matilda	20.78
1	3	Ômega	26.59
1	3	Radosa	30.16
1	4	Achat	16.59
1	4	AN-3	22.18
1	4	Apuã	40.56
1	4	Baronesa	30.81
1	4	Bintje	23.13
1	4	Carola	29.22
1	4	Elipsa	29.55
1	4	Matilda	21.31
1	4	Ômega	31.81
1	4	Radosa	19.22
2	1	Achat	37.92
2	1	AN-3	30.78
2	1	Apuã	36.55
2	1	Baronesa	45.22
2	1	Bintje	32.28
2	1	Carola	29.44
2	1	Elipsa	42.53
2	1	Matilda	33.22
2	1	Ômega	44.03
2	1	Radosa	31.38
2	2	Achat	36.94
2	2	AN-3	32.41
2	2	Apuã	27.69
2	2	Baronesa	30.19
2	2	Bintje	22.44
2	2	Carola	37.63
2	2	Elipsa	27.06
2	2	Matilda	24.88
2	2	Ômega	24.88
2	2	Radosa	26.34
2	3	Achat	45.19
2	3	AN-3	34.72
2	3	Apuã	44.31
2	3	Baronesa	42.19
2	3	Bintje	37.22
2	3	Carola	38.38
2	3	Elipsa	39.59
2	3	Matilda	38.97
2	3	Ômega	47.41
2	3	Radosa	18.91
2	4	Achat	39.25
2	4	AN-3	24.03
2	4	Apuã	35.94
2	4	Baronesa	42.41
2	4	Bintje	31.13
2	4	Carola	40.16
2	4	Elipsa	40.09
2	4	Matilda	37.88
2	4	Ômega	39.16
2	4	Radosa	36.33
3	1	Achat	48.81
3	1	AN-3	29.97
3	1	Apuã	48.13
3	1	Baronesa	38.75
3	1	Bintje	32.84
3	1	Carola	26.72
3	1	Elipsa	38.25
3	1	Matilda	34.06
3	1	Ômega	42.09
3	1	Radosa	26.56
3	2	Achat	42.69
3	2	AN-3	26.31
3	2	Apuã	36.5
3	2	Baronesa	32.94
3	2	Bintje	23.31
3	2	Carola	21.44
3	2	Elipsa	27.59
3	2	Matilda	25.78
3	2	Ômega	29.47
3	2	Radosa	20.81
3	3	Achat	37.16
3	3	AN-3	27.72
3	3	Apuã	31.44
3	3	Baronesa	38.78
3	3	Bintje	31.63
3	3	Carola	37.22
3	3	Elipsa	43.75
3	3	Matilda	35.81
3	3	Ômega	38.13
3	3	Radosa	29.59
3	4	Achat	37.84
3	4	AN-3	24.91
3	4	Apuã	39.63
3	4	Baronesa	22
3	4	Bintje	25.84
3	4	Carola	30.94
3	4	Elipsa	36.81
3	4	Matilda	27.28
3	4	Ômega	38.03
3	4	Radosa	17.47
4	1	Achat	38.38
4	1	AN-3	41.25
4	1	Apuã	45.78
4	1	Baronesa	35.78
4	1	Bintje	36.72
4	1	Carola	35.78
4	1	Elipsa	36.72
4	1	Matilda	21.25
4	1	Ômega	33.8
4	1	Radosa	30.97
4	2	Achat	30.56
4	2	AN-3	24.72
4	2	Apuã	34.63
4	2	Baronesa	24.97
4	2	Bintje	24.53
4	2	Carola	28.41
4	2	Elipsa	33.16
4	2	Matilda	23.03
4	2	Ômega	31.3
4	2	Radosa	26
4	3	Achat	41.34
4	3	AN-3	31.44
4	3	Apuã	63.44
4	3	Baronesa	46.28
4	3	Bintje	35.94
4	3	Carola	37.22
4	3	Elipsa	16.78
4	3	Matilda	37.19
4	3	Ômega	40.95
4	3	Radosa	30.16
4	4	Achat	41.56
4	4	AN-3	31.72
4	4	Apuã	48.17
4	4	Baronesa	41.53
4	4	Bintje	28.31
4	4	Carola	37.38
4	4	Elipsa	36.31
4	4	Matilda	36.72
4	4	Ômega	37.66
4	4	Radosa	25.94
