ano	bloc	espac	prod
1975	I	6x2	9
1975	I	6x3	4.25
1975	I	6x4	7
1975	I	6x5	5.5
1975	I	6x6	4.05
1976	I	6x2	18.25
1976	I	6x3	16.3
1976	I	6x4	21.4
1976	I	6x5	17.05
1976	I	6x6	19.3
1977	I	6x2	32.5
1977	I	6x3	23.05
1977	I	6x4	18.05
1977	I	6x5	22.05
1977	I	6x6	28.15
1978	I	6x2	48.9
1978	I	6x3	55.35
1978	I	6x4	60.6
1978	I	6x5	51.8
1978	I	6x6	70.5
1979	I	6x2	12
1979	I	6x3	35.35
1979	I	6x4	17.75
1979	I	6x5	34
1979	I	6x6	27.5
1975	II	6x2	5.25
1975	II	6x3	2.25
1975	II	6x4	5.1
1975	II	6x5	4.8
1975	II	6x6	3.85
1976	II	6x2	21.8
1976	II	6x3	11.15
1976	II	6x4	17.55
1976	II	6x5	13.35
1976	II	6x6	14.15
1977	II	6x2	16.65
1977	II	6x3	26.1
1977	II	6x4	23.3
1977	II	6x5	21.25
1977	II	6x6	28.55
1978	II	6x2	56.75
1978	II	6x3	41.85
1978	II	6x4	57.7
1978	II	6x5	59.45
1978	II	6x6	58.55
1979	II	6x2	23.15
1979	II	6x3	24.25
1979	II	6x4	25
1979	II	6x5	11.9
1979	II	6x6	29.85
1975	III	6x2	8.7
1975	III	6x3	2.6
1975	III	6x4	8
1975	III	6x5	3.3
1975	III	6x6	9.5
1976	III	6x2	20.4
1976	III	6x3	12.35
1976	III	6x4	19.15
1976	III	6x5	15.1
1976	III	6x6	24.3
1977	III	6x2	22.7
1977	III	6x3	21.95
1977	III	6x4	27.55
1977	III	6x5	16.25
1977	III	6x6	29.1
1978	III	6x2	48.2
1978	III	6x3	47.15
1978	III	6x4	61.2
1978	III	6x5	48.05
1978	III	6x6	67
1979	III	6x2	26.35
1979	III	6x3	36.75
1979	III	6x4	35
1979	III	6x5	32
1979	III	6x6	22.5
1975	IV	6x2	3.5
1975	IV	6x3	7.35
1975	IV	6x4	3.85
1975	IV	6x5	6.45
1975	IV	6x6	3.75
1976	IV	6x2	20.25
1976	IV	6x3	24.1
1976	IV	6x4	18.35
1976	IV	6x5	18.9
1976	IV	6x6	13.25
1977	IV	6x2	8.75
1977	IV	6x3	25.6
1977	IV	6x4	26.8
1977	IV	6x5	15.3
1977	IV	6x6	18.5
1978	IV	6x2	68.4
1978	IV	6x3	54.35
1978	IV	6x4	53.05
1978	IV	6x5	58.45
1978	IV	6x6	49.35
1979	IV	6x2	19.15
1979	IV	6x3	19.75
1979	IV	6x4	21.75
1979	IV	6x5	8.5
1979	IV	6x6	22.75
