apar	oper	bloc	alt
Hipsômetro de Blume-Leiss	1	1	22.4
Hipsômetro de Haga	1	1	22.9
Hipsômetro Weise	1	1	23.5
Pracheta dendrométrica	1	1	22.5
Trena	1	1	21.45
Hipsômetro de Blume-Leiss	2	1	22.65
Hipsômetro de Haga	2	1	23
Hipsômetro Weise	2	1	22
Pracheta dendrométrica	2	1	22.9
Trena	2	1	21.45
Hipsômetro de Blume-Leiss	3	1	22.5
Hipsômetro de Haga	3	1	22.5
Hipsômetro Weise	3	1	22.75
Pracheta dendrométrica	3	1	21.75
Trena	3	1	21.35
Hipsômetro de Blume-Leiss	4	1	21.25
Hipsômetro de Haga	4	1	22.1
Hipsômetro Weise	4	1	21.25
Pracheta dendrométrica	4	1	21.9
Trena	4	1	21.2
Hipsômetro de Blume-Leiss	1	2	20.85
Hipsômetro de Haga	1	2	21.4
Hipsômetro Weise	1	2	21
Pracheta dendrométrica	1	2	20.5
Trena	1	2	19.2
Hipsômetro de Blume-Leiss	2	2	20.65
Hipsômetro de Haga	2	2	20.7
Hipsômetro Weise	2	2	19.5
Pracheta dendrométrica	2	2	21.2
Trena	2	2	18.9
Hipsômetro de Blume-Leiss	3	2	21.25
Hipsômetro de Haga	3	2	21
Hipsômetro Weise	3	2	20.5
Pracheta dendrométrica	3	2	19.35
Trena	3	2	19.2
Hipsômetro de Blume-Leiss	4	2	21.25
Hipsômetro de Haga	4	2	21.6
Hipsômetro Weise	4	2	21.5
Pracheta dendrométrica	4	2	21
Trena	4	2	18.9
Hipsômetro de Blume-Leiss	1	3	23.6
Hipsômetro de Haga	1	3	23.95
Hipsômetro Weise	1	3	23.75
Pracheta dendrométrica	1	3	23.2
Trena	1	3	23.35
Hipsômetro de Blume-Leiss	2	3	23
Hipsômetro de Haga	2	3	22.5
Hipsômetro Weise	2	3	23.25
Pracheta dendrométrica	2	3	24.6
Trena	2	3	23.2
Hipsômetro de Blume-Leiss	3	3	23.1
Hipsômetro de Haga	3	3	23
Hipsômetro Weise	3	3	22.75
Pracheta dendrométrica	3	3	21.75
Trena	3	3	23.2
Hipsômetro de Blume-Leiss	4	3	22.25
Hipsômetro de Haga	4	3	22.35
Hipsômetro Weise	4	3	22.1
Pracheta dendrométrica	4	3	22.75
Trena	4	3	23.3
Hipsômetro de Blume-Leiss	1	4	21
Hipsômetro de Haga	1	4	22.25
Hipsômetro Weise	1	4	20.75
Pracheta dendrométrica	1	4	21
Trena	1	4	20.35
Hipsômetro de Blume-Leiss	2	4	20.75
Hipsômetro de Haga	2	4	20.95
Hipsômetro Weise	2	4	20.5
Pracheta dendrométrica	2	4	21.5
Trena	2	4	20.25
Hipsômetro de Blume-Leiss	3	4	20.6
Hipsômetro de Haga	3	4	21.75
Hipsômetro Weise	3	4	19.5
Pracheta dendrométrica	3	4	19.5
Trena	3	4	20.3
Hipsômetro de Blume-Leiss	4	4	21.25
Hipsômetro de Haga	4	4	21.75
Hipsômetro Weise	4	4	21.7
Pracheta dendrométrica	4	4	20.75
Trena	4	4	20.3
Hipsômetro de Blume-Leiss	1	5	19.1
Hipsômetro de Haga	1	5	21.4
Hipsômetro Weise	1	5	19.5
Pracheta dendrométrica	1	5	21
Trena	1	5	19.95
Hipsômetro de Blume-Leiss	2	5	20.25
Hipsômetro de Haga	2	5	22.25
Hipsômetro Weise	2	5	21.25
Pracheta dendrométrica	2	5	21.2
Trena	2	5	19.95
Hipsômetro de Blume-Leiss	3	5	21
Hipsômetro de Haga	3	5	22.75
Hipsômetro Weise	3	5	20.5
Pracheta dendrométrica	3	5	20.5
Trena	3	5	20
Hipsômetro de Blume-Leiss	4	5	18
Hipsômetro de Haga	4	5	19.75
Hipsômetro Weise	4	5	19.75
Pracheta dendrométrica	4	5	19.7
Trena	4	5	19.9
Hipsômetro de Blume-Leiss	1	6	19.8
Hipsômetro de Haga	1	6	21
Hipsômetro Weise	1	6	19.5
Pracheta dendrométrica	1	6	18.9
Trena	1	6	19.35
Hipsômetro de Blume-Leiss	2	6	19.8
Hipsômetro de Haga	2	6	20.75
Hipsômetro Weise	2	6	19.75
Pracheta dendrométrica	2	6	20
Trena	2	6	19.2
Hipsômetro de Blume-Leiss	3	6	19.5
Hipsômetro de Haga	3	6	20.35
Hipsômetro Weise	3	6	19.75
Pracheta dendrométrica	3	6	19
Trena	3	6	19.3
Hipsômetro de Blume-Leiss	4	6	20
Hipsômetro de Haga	4	6	20.65
Hipsômetro Weise	4	6	19.75
Pracheta dendrométrica	4	6	20
Trena	4	6	19.3
Hipsômetro de Blume-Leiss	1	7	16.55
Hipsômetro de Haga	1	7	16.9
Hipsômetro Weise	1	7	17.5
Pracheta dendrométrica	1	7	17.8
Trena	1	7	17.45
Hipsômetro de Blume-Leiss	2	7	17.25
Hipsômetro de Haga	2	7	18
Hipsômetro Weise	2	7	17.75
Pracheta dendrométrica	2	7	18.7
Trena	2	7	17.35
Hipsômetro de Blume-Leiss	3	7	16.6
Hipsômetro de Haga	3	7	17.2
Hipsômetro Weise	3	7	17.25
Pracheta dendrométrica	3	7	16.35
Trena	3	7	17.5
Hipsômetro de Blume-Leiss	4	7	17.25
Hipsômetro de Haga	4	7	16.7
Hipsômetro Weise	4	7	18.2
Pracheta dendrométrica	4	7	18.45
Trena	4	7	17.4
Hipsômetro de Blume-Leiss	1	8	14.75
Hipsômetro de Haga	1	8	14.85
Hipsômetro Weise	1	8	14.5
Pracheta dendrométrica	1	8	14.3
Trena	1	8	14.45
Hipsômetro de Blume-Leiss	2	8	15
Hipsômetro de Haga	2	8	14.75
Hipsômetro Weise	2	8	14.75
Pracheta dendrométrica	2	8	15
Trena	2	8	14.35
Hipsômetro de Blume-Leiss	3	8	14.35
Hipsômetro de Haga	3	8	14.85
Hipsômetro Weise	3	8	14.25
Pracheta dendrométrica	3	8	14.1
Trena	3	8	14.4
Hipsômetro de Blume-Leiss	4	8	14.65
Hipsômetro de Haga	4	8	15.75
Hipsômetro Weise	4	8	14.6
Pracheta dendrométrica	4	8	14.3
Trena	4	8	14.5
Hipsômetro de Blume-Leiss	1	9	21.1
Hipsômetro de Haga	1	9	22
Hipsômetro Weise	1	9	20
Pracheta dendrométrica	1	9	20.6
Trena	1	9	22
Hipsômetro de Blume-Leiss	2	9	19.75
Hipsômetro de Haga	2	9	20.5
Hipsômetro Weise	2	9	20.5
Pracheta dendrométrica	2	9	21.5
Trena	2	9	21.8
Hipsômetro de Blume-Leiss	3	9	20.75
Hipsômetro de Haga	3	9	22.35
Hipsômetro Weise	3	9	21.5
Pracheta dendrométrica	3	9	20.85
Trena	3	9	21.9
Hipsômetro de Blume-Leiss	4	9	21
Hipsômetro de Haga	4	9	20.85
Hipsômetro Weise	4	9	21.25
Pracheta dendrométrica	4	9	20.75
Trena	4	9	22
Hipsômetro de Blume-Leiss	1	10	14.3
Hipsômetro de Haga	1	10	15
Hipsômetro Weise	1	10	14
Pracheta dendrométrica	1	10	14.2
Trena	1	10	14.75
Hipsômetro de Blume-Leiss	2	10	14.25
Hipsômetro de Haga	2	10	15.25
Hipsômetro Weise	2	10	14.25
Pracheta dendrométrica	2	10	14.2
Trena	2	10	14.65
Hipsômetro de Blume-Leiss	3	10	14.1
Hipsômetro de Haga	3	10	16
Hipsômetro Weise	3	10	14.25
Pracheta dendrométrica	3	10	13.85
Trena	3	10	14.8
Hipsômetro de Blume-Leiss	4	10	14.25
Hipsômetro de Haga	4	10	15.4
Hipsômetro Weise	4	10	14.75
Pracheta dendrométrica	4	10	15.1
Trena	4	10	14.4
