N	P	K	bloc	prod
0	0	0	I	31.8
0	0	1	I	25.6
0	1	0	I	36.2
0	1	1	I	37.1
1	0	0	I	35.3
1	0	1	I	51.5
1	1	0	I	43.8
1	1	1	I	47
0	0	0	II	40.5
0	0	1	II	32.4
0	1	0	II	37.8
0	1	1	II	53
1	0	0	II	39
1	0	1	II	66.1
1	1	0	II	32.7
1	1	1	II	49.9
0	0	0	III	25.7
0	0	1	III	39.6
0	1	0	III	40.9
0	1	1	III	36.4
1	0	0	III	36
1	0	1	III	51.7
1	1	0	III	43.3
1	1	1	III	50.9
0	0	0	IV	25.7
0	0	1	IV	48.9
0	1	0	IV	44.8
0	1	1	IV	43
1	0	0	IV	33.5
1	0	1	IV	52
1	1	0	IV	41.8
1	1	1	IV	49.1
0	0	0	V	37.2
0	0	1	V	20.6
0	1	0	V	32.4
0	1	1	V	19.7
1	0	0	V	28.2
1	0	1	V	56.6
1	1	0	V	31.9
1	1	1	V	71.7
0	0	0	VI	45.3
0	0	1	VI	33.7
0	1	0	VI	38.4
0	1	1	VI	30.4
1	0	0	VI	42.4
1	0	1	VI	58.2
1	1	0	VI	37.7
1	1	1	VI	39.6
