N	P	K	bloc	rept	prod
0	0	0	1	1	868
0	60	120	1	1	951
0	120	60	1	1	694
40	0	60	1	1	972
40	60	0	1	1	1319
40	120	120	1	1	812
80	0	120	1	1	951
80	60	60	1	1	1493
80	120	0	1	1	1076
0	0	0	1	2	319
0	60	120	1	2	521
0	120	60	1	2	868
40	0	60	1	2	486
40	60	0	1	2	1139
40	120	120	1	2	868
80	0	120	1	2	1076
80	60	60	1	2	1146
80	120	0	1	2	1215
0	0	60	2	1	625
0	60	0	2	1	1319
0	120	120	2	1	1042
40	0	120	2	1	729
40	60	60	2	1	764
40	120	0	2	1	806
80	0	0	2	1	1285
80	60	120	2	1	972
80	120	60	2	1	1042
0	0	60	2	2	764
0	60	0	2	2	1042
0	120	120	2	2	729
40	0	120	2	2	833
40	60	60	2	2	1215
40	120	0	2	2	625
80	0	0	2	2	604
80	60	120	2	2	1153
80	120	60	2	2	729
0	0	120	3	1	465
0	60	60	3	1	833
0	120	0	3	1	1069
40	0	0	3	1	1215
40	60	120	3	1	729
40	120	60	3	1	660
80	0	60	3	1	1076
80	60	0	3	1	1250
80	120	120	3	1	1076
0	0	120	3	2	1181
0	60	60	3	2	729
0	120	0	3	2	660
40	0	0	3	2	937
40	60	120	3	2	1083
40	120	60	3	2	625
80	0	60	3	2	972
80	60	0	3	2	1139
80	120	120	3	2	1264
