tomo	cint	us1	us2	pc
12.667	92	79	32.5	49.5
5.518	107	53	68	45
8.238	90	72	35	41.5
5.753	113	48	65	41
4.719	82	66	28	37.2
6.067	93	50	37	42
7.814	99	73	48	43.6
5.721	85	79.5	35	46.5
7.936	105	46	41	43.7
7.35	98	47	39	45
11.139	102	70	45	44
7.017	97	54	47	44.8
5.551	77	61.5	25	37.2
4.077	65	53.5	20	36.5
3.527	85	54	23	43.3
3.074	89	61	40	38.4
5.014	86	48.5	38.5	42.3
5.075	80	42.5	31	41.1
9.878	92	73	42	47
8.688	85	79.5	21	43.7
4.022	79	40.5	27	39
9.389	96	93	57.5	40.8
9.863	95	70	36	42.3
7.744	94	66	33	39.2
5.924	98	50.5	38	41.8
9.139	84	70	24	37.5
9.902	109	84	70	40
7.87	80	68	35	46.8
18.991	115	83	36	46.2
