salario	exp	sexo
1.93077	0	feminino
3.17692	17	feminino
2.27692	5	feminino
3.13077	15	feminino
2.77692	9	feminino
3.09231	15	feminino
2.65385	8	feminino
2.22308	5	feminino
2.85385	13	feminino
3.23077	20	feminino
2.82308	11	feminino
1.90769	1	feminino
2.53846	6	masculino
2.56923	7	masculino
4.22308	23	masculino
4.09231	20	masculino
3.6	18	masculino
4.70769	27	masculino
3.14615	11	masculino
2.99231	10	masculino
4.74615	29	masculino
4.11538	23	masculino
2.36154	4	masculino
4.09231	22	masculino
4.50769	25	masculino
2.90769	9	masculino
4.48462	25	masculino
