y	x1	x2	x3	x4	x5	x6
130.7	654	683	183	123	4032	503
113	457	479	89	49	5057	698
125.4	429	823	196	115	6429	737
131.1	483	735	157	82	5693	829
133.2	915	1018	211	116	4091	832
178.2	813	857	218	169	6023	796
121.1	616	924	312	105	7392	539
135.5	986	1247	428	82	4698	1207
109.8	550	965	461	94	4439	683
119	448	688	244	101	8770	707
103.8	505	561	261	121	6418	458
114.2	501	735	154	103	3708	536
118.4	712	943	162	83	5682	989
104.6	642	758	252	64	4854	782
134	491	809	149	82	7234	854
140.2	590	638	198	99	6807	891
110.9	517	671	116	48	5616	441
101.2	455	516	139	112	4389	580
122.9	723	835	300	89	4079	980
97.5	416	578	112	238	6944	512
124.1	960	878	277	47	4673	1100
120.1	535	1278	306	129	7218	1019
138.4	642	848	352	100	6595	676
108.5	489	663	148	103	6616	671
97.5	413	688	115	77	6140	483
130.6	773	619	170	93	2641	1328
112.6	413	808	95	67	5692	549
137.7	622	734	163	81	4956	683
104.1	639	729	214	53	4615	1223
113.2	747	1087	353	77	6028	826
