condut	n	cinzas
341	0.1735	0.1329
1177.67	0.2291	0.6721
614.33	0.2335	0.2266
751.67	0.1227	0.4187
507.67	0.3238	0.1621
1110.67	0.4834	0.612
290	0.2168	0.1368
239	0.2081	0.1174
367.67	0.2236	0.1382
846.67	0.3159	0.9188
626	0.2707	0.3721
592.33	0.2981	0.3518
216.67	0.2187	0.0999
743.67	0.4118	0.4004
626	0.4061	0.2136
371.67	0.208	0.0916
387	0.1967	0.0807
391.67	0.2808	0.0838
595.67	0.2869	0.2144
947.33	0.3343	0.3816
329.67	0.1975	0.1264
230.67	0.1659	0.0897
160.67	0.1323	0.1296
382.67	0.1611	0.1578
241	0.1757	0.1338
281.33	0.122	0.1577
405	0.2301	0.1672
500.33	0.2345	0.2392
469	0.5833	0.1872
273.33	0.2264	0.0668
786	0.0986	0.257
1175.33	0.1379	0.3985
1257.67	0.1219	0.5937
280.67	0.0778	0.0514
214.67	0.0848	0.0972
191.33	0.0507	0.1179
874	0.1457	0.501
891.67	0.122	0.3947
355.33	0.0658	0.1647
287	0.115	0.1404
198.33	0.0736	0.093
647.67	0.1446	0.2002
599	0.1627	0.2336
508.67	0.1999	0.2307
391	0.1033	0.1025
471	0.1104	0.1879
261	0.193	0.1822
508.67	0.1671	0.3135
951	0.1013	0.3086
902.33	0.1443	0.3786
1204.67	0.2298	0.6252
222	0.0543	0.0636
544	0.1438	0.292
349.67	0.1295	0.2012
340.33	0.0953	0.2085
405	0.0785	0.1454
803	0.1499	0.2869
235.67	0.0815	0.0325
191	0.0536	0.0578
525.67	0.1614	0.1503
649	0.0912	0.1326
769.33	0.2032	0.2792
801	0.1343	0.2085
561.33	0.1213	0.2829
389	0.0647	0.1296
977.67	0.1716	0.4197
660.33	0.2007	0.1967
649	0.0685	0.261
465.33	0.0756	0.2024
736.67	0.1018	0.3426
1097.33	0.1568	0.3861
853.67	0.1114	0.3751
452.33	0.1154	0.2476
542.67	0.3075	0.287
328	0.1263	0.1251
814	0.2042	0.3784
240	0.1203	0.1038
807.67	0.2499	0.4004
639	0.3813	0.2109
927.33	0.3303	0.3802
887	0.2491	0.2545
206	0.0485	0.0896
590.67	0.3019	0.2629
541.67	0.2739	0.227
406.67	0.1877	0.326
1064.33	0.2247	0.2771
844.67	0.1857	0.2766
869	0.3262	0.2289
738	0.2852	0.2795
263.67	0.1295	0.0893
400.33	0.0844	0.1913
677	0.136	0.3007
580.33	0.16	0.3218
397.67	0.2786	0.0956
