dose	peso
0	9.45
0	10.84
0	10.12
0	11.14
0	10.3
0	11.04
0	11.45
0	12.23
0	9.46
0	12.75
30	10.14
30	10.73
30	9.02
30	0.91
30	1.35
30	6.89
30	1.14
30	8.98
30	9.18
30	0.82
40	8.61
40	5.48
40	8.88
40	9.23
40	6.15
40	8.86
40	7.32
40	7.66
40	9.63
40	5.7
50	6.46
50	5.88
50	7.14
50	2.49
50	8.33
50	6.93
50	6.18
50	4.14
50	6.75
50	5.5
60	7.22
60	5.49
60	0.45
60	6
60	5.05
60	0.15
60	4.97
60	3.52
60	7.07
60	9.93
70	2.45
70	4.45
70	5.04
70	6.19
70	4.15
70	5.49
70	4.65
70	2.78
70	5.98
70	0.7
80	3.75
80	5.75
80	2.94
80	0.23
80	2.22
80	2.65
80	2.61
80	4.13
80	2.8
80	4.95
