cult	sitio	bloc	prod
1	1	1	1.84
1	1	2	1.91
1	1	3	1.76
2	1	1	1.99
2	1	2	1.89
2	1	3	2.17
3	1	1	1.95
3	1	2	1.85
3	1	3	2.18
4	1	1	2
4	1	2	1.84
4	1	3	2.07
5	1	1	1.61
5	1	2	1.79
5	1	3	1.59
6	1	1	1.93
6	1	2	2.03
6	1	3	2
1	2	1	2.43
1	2	2	2.63
1	2	3	2.56
2	2	1	2.71
2	2	2	2.82
2	2	3	2.95
3	2	1	2.4
3	2	2	2.51
3	2	3	2.71
4	2	1	2.83
4	2	2	2.75
4	2	3	2.62
5	2	1	1.93
5	2	2	1.72
5	2	3	1.51
6	2	1	2.92
6	2	2	2.88
6	2	3	3.01
1	3	1	2.79
1	3	2	3.1
1	3	3	2.78
2	3	1	2.63
2	3	2	2.58
2	3	3	3.03
3	3	1	2.67
3	3	2	2.5
3	3	3	3.12
4	3	1	2.91
4	3	2	2.69
4	3	3	2.91
5	3	1	2.5
5	3	2	2.5
5	3	3	2.63
6	3	1	2.97
6	3	2	2.86
6	3	3	2.91
