bacia	prog	plant	prod
1	1	1	2.65
1	1	2	2.68
1	1	3	2.95
1	2	1	3.02
1	2	2	3.1
1	2	3	3
1	3	1	3.38
1	3	2	3.25
1	3	3	2.88
1	4	1	3.3
1	4	2	3.2
1	4	3	3.9
1	5	1	2.75
1	5	2	2.6
1	5	3	2.9
1	6	1	2.55
1	6	2	2.82
1	6	3	2.55
2	1	1	4.78
2	1	2	3.2
2	1	3	4
2	2	1	4.52
2	2	2	3.72
2	2	3	4.55
2	3	1	4.45
2	3	2	4.65
2	3	3	3.98
2	4	1	4.35
2	4	2	4.22
2	4	3	4.22
2	5	1	5.2
2	5	2	4.4
2	5	3	3.38
2	6	1	4.47
2	6	2	4.45
2	6	3	3.98
3	1	1	1.82
3	1	2	1.85
3	1	3	2.1
3	2	1	2.12
3	2	2	1.7
3	2	3	2.02
3	3	1	2.12
3	3	2	2.1
3	3	3	2.55
3	4	1	2.12
3	4	2	2.22
3	4	3	2.4
3	5	1	2.2
3	5	2	1.92
3	5	3	2.12
3	6	1	2.28
3	6	2	2.02
3	6	3	2.55
