clon	cort	bloc	mfce
C1	A	1	9.5
C1	A	2	8.58
C1	A	3	7.3
C1	A	4	7.6
C1	A	5	6.06
C1	A	6	5.8
C1	B	1	5.9
C1	B	2	5.55
C1	B	3	7.9
C1	B	4	4.7
C1	B	5	4.83
C1	B	6	4.53
C1	C	1	7.94
C1	C	2	7.3
C1	C	3	7.73
C1	C	4	6.6
C1	C	5	7.13
C1	C	6	3.8
C1	D	1	9.7
C1	D	2	7.72
C1	D	3	8.58
C1	D	4	6
C1	D	5	5.6
C1	D	6	4.52
C2	A	1	7.5
C2	A	2	8.33
C2	A	3	9.1
C2	A	4	7.6
C2	A	5	5.59
C2	A	6	5.55
C2	B	1	6.5
C2	B	2	6.3
C2	B	3	7.7
C2	B	4	5.85
C2	B	5	4.31
C2	B	6	5.59
C2	C	1	6.62
C2	C	2	6.9
C2	C	3	7.77
C2	C	4	6.66
C2	C	5	5.25
C2	C	6	4.83
C2	D	1	6.66
C2	D	2	7.34
C2	D	3	8.5
C2	D	4	6.62
C2	D	5	6.45
C2	D	6	5.68
C3	A	1	9.27
C3	A	2	8.03
C3	A	3	6.92
C3	A	4	9.99
C3	A	5	6.75
C3	A	6	7.1
C3	B	1	6.75
C3	B	2	5.38
C3	B	3	5.21
C3	B	4	6.8
C3	B	5	5.34
C3	B	6	4.01
C3	C	1	9.78
C3	C	2	6.83
C3	C	3	7.13
C3	C	4	8.2
C3	C	5	5.93
C3	C	6	4.78
C3	D	1	9.52
C3	D	2	8.58
C3	D	3	7.77
C3	D	4	8.97
C3	D	5	7.1
C3	D	6	4.7
