N	P	K	rept	prod
0	0	0	1	31
0	0	0	2	40
0	0	0	3	25
0	0	0	4	26
0	0	0	5	37
0	0	0	6	45
0	0	1	1	25
0	0	1	2	32
0	0	1	3	39
0	0	1	4	49
0	0	1	5	22
0	0	1	6	34
0	1	0	1	36
0	1	0	2	37
0	1	0	3	41
0	1	0	4	33
0	1	0	5	33
0	1	0	6	39
0	1	1	1	37
0	1	1	2	53
0	1	1	3	36
0	1	1	4	19
0	1	1	5	20
0	1	1	6	30
1	0	0	1	35
1	0	0	2	39
1	0	0	3	37
1	0	0	4	28
1	0	0	5	29
1	0	0	6	42
1	0	1	1	51
1	0	1	2	66
1	0	1	3	52
1	0	1	4	57
1	0	1	5	55
1	0	1	6	58
1	1	0	1	43
1	1	0	2	32
1	1	0	3	43
1	1	0	4	32
1	1	0	5	31
1	1	0	6	38
1	1	1	1	47
1	1	1	2	50
1	1	1	3	51
1	1	1	4	71
1	1	1	5	42
1	1	1	6	45
