local	cult	rept	prod
1	C1	1	5.39
1	C1	2	6.1
1	C1	3	7.98
1	C1	4	7.32
1	C1	5	7.49
1	C2	1	8.73
1	C2	2	8.05
1	C2	3	8.57
1	C2	4	7.96
1	C2	5	7.73
1	C3	1	2.22
1	C3	2	2.15
1	C3	3	2.54
1	C3	4	2.37
1	C3	5	2.2
1	C4	1	1.41
1	C4	2	1.26
1	C4	3	1.61
1	C4	4	1.66
1	C4	5	1.33
1	C5	1	5.11
1	C5	2	6.04
1	C5	3	6.25
1	C5	4	6.91
1	C5	5	7.35
1	C6	1	6.51
1	C6	2	8.6
1	C6	3	8.62
1	C6	4	7.69
1	C6	5	7.13
2	C1	1	4.24
2	C1	2	4.77
2	C1	3	3.68
2	C1	4	4.23
2	C1	5	6.94
2	C2	1	4.33
2	C2	2	4.71
2	C2	3	4.75
2	C2	4	4.69
2	C2	5	4.37
2	C3	1	3.43
2	C3	2	3.41
2	C3	3	3.47
2	C3	4	3.46
2	C3	5	5.43
2	C4	1	2.33
2	C4	2	1.54
2	C4	3	1.74
2	C4	4	1.64
2	C4	5	1.45
2	C5	1	2.23
2	C5	2	4.15
2	C5	3	3.1
2	C5	4	2.61
2	C5	5	2.14
2	C6	1	5.22
2	C6	2	7.41
2	C6	3	7.37
2	C6	4	6.26
2	C6	5	5.24
3	C1	1	6.43
3	C1	2	6.02
3	C1	3	5.55
3	C1	4	4.32
3	C1	5	6.49
3	C2	1	6.01
3	C2	2	6.12
3	C2	3	6.39
3	C2	4	6.55
3	C2	5	6.21
3	C3	1	1.6
3	C3	2	1.62
3	C3	3	1.63
3	C3	4	1.65
3	C3	5	1.62
3	C4	1	3.16
3	C4	2	3.13
3	C4	3	3.15
3	C4	4	3.51
3	C4	5	3.21
3	C5	1	4.31
3	C5	2	5.3
3	C5	3	4.51
3	C5	4	3.53
3	C5	5	2.65
3	C6	1	2.55
3	C6	2	3.74
3	C6	3	4.45
3	C6	4	5.13
3	C6	5	4.37
