aplic	npk	cama	bloco	altes	altpl	maspl	mases	masgr	prod	p100
incorporado	0	0	1	38.4	109.2	53.6	95.417	60.833	570.313	25
incorporado	0	0	2	69.8	131.4	72.6	111.5	73.375	2292.969	24.194
incorporado	0	0	3	52.8	103.8	83.6	95.714	58.571	960.938	28.571
incorporado	0	0	4	39.2	86.8	55.6	67.188	35	437.5	25.21
incorporado	0	2	1	60	126	97.6	96.818	60.909	1046.875	26.087
incorporado	0	2	2	54.6	109.6	60.6	87.308	58.59	1785.156	28.302
incorporado	0	2	3	55.2	114.8	72.6	80.714	44.643	488.281	23.81
incorporado	0	2	4	50.8	95.8	81.6	73.438	45.313	566.406	27.027
incorporado	0	4	1	62.6	130.8	88.6	96.571	59.286	1621.094	26.087
incorporado	0	4	2	54	120.6	82.6	116.136	75.682	2601.563	25.862
incorporado	0	4	3	63.8	129.8	94.6	85.641	52.436	1597.656	26.087
incorporado	0	4	4	57	101.6	72.6	66.389	39.444	554.688	22.222
incorporado	0	8	1	63.6	130.6	81.6	99.744	67.949	2070.313	25.862
incorporado	0	8	2	59.31	111.75	75.75	78.063	49.421	1085.156	23.496
incorporado	0	8	3	61.29	120.45	78.45	88.069	57.972	1539.844	24.588
incorporado	0	8	4	76.2	143	103.6	107.027	79.324	2292.969	24.39
incorporado	0	16	1	77.8	146.4	87.6	133.902	90.244	2890.625	27.523
incorporado	0	16	2	71.763	136.617	89.883	109.666	75.847	2241.146	25.5
incorporado	0	16	3	60.8	116	66.6	83.571	49.286	808.594	24.59
incorporado	0	16	4	85.2	169	85.6	119.574	80.319	2949.219	NA
incorporado	120	0	1	72	136.6	59.6	87.982	57.982	2582.031	23.256
incorporado	120	0	2	72.667	140.533	70.6	97.043	62.529	2113.281	NA
incorporado	120	0	3	67.2	138.2	65.6	98.725	67.451	2687.5	26.549
incorporado	120	0	4	57	119.2	86.6	61.042	41.563	1558.594	26.786
incorporado	120	2	1	67.8	135	91.6	90.625	74.063	2777.344	27.273
incorporado	120	2	2	64	130.8	81.267	83.464	61.025	2341.146	26.869
incorporado	120	2	3	61.2	107.4	59.6	56.8	29.2	570.313	24.194
incorporado	120	2	4	62.4	117	61.6	101.216	62.838	1816.406	25
incorporado	120	4	1	78	140.2	61.6	84.375	57.125	1785.156	24
incorporado	120	4	2	50	108.4	52.6	82.568	71.892	2078.125	24.793
incorporado	120	4	3	74.2	139.8	60.6	105.972	74.583	2097.656	25.641
incorporado	120	4	4	60.8	115.8	68.6	88	53.25	832.031	28.037
incorporado	120	8	1	69	140	105.6	98.214	63.333	2078.125	25.424
incorporado	120	8	2	75.2	147.6	65.6	97.347	67.449	2582.031	22.901
incorporado	120	8	3	58.8	119.6	59.6	99.375	60.75	1898.438	25.21
incorporado	120	8	4	65	121.2	101.6	67.333	33.333	390.625	23.256
incorporado	120	16	1	62	122.6	88.6	100.303	70.758	1824.219	24.59
incorporado	120	16	2	53	94	80.6	78.125	48.7	1521.875	27.027
incorporado	120	16	3	79.6	134.6	78.6	107.556	67.222	2363.281	25.424
incorporado	120	16	4	71.6	135.6	84.6	90.417	51.806	1457.031	26.316
não incorp.	120	0	1	66	139.2	77.6	116.222	52.578	1848.438	26.087
não incorp.	120	0	2	72.4	136.467	80.267	104.731	57.202	1889.583	25.942
não incorp.	120	0	3	30.8	71.4	59.6	139.583	89.167	835.938	26.549
não incorp.	120	0	4	38.8	86.8	53.6	39.091	19.091	164.063	23.077
não incorp.	120	2	1	59.2	124.8	108.6	105.806	69.032	1671.875	26.316
não incorp.	120	2	2	58.4	131.8	63.6	115.345	74.828	1695.313	25.862
não incorp.	120	2	3	49.8	97	45.6	70	44.375	554.688	21.739
não incorp.	120	2	4	32.6	67	71.6	40	16.25	50.781	25
não incorp.	120	4	1	65.2	124.8	101.6	90	55.926	1179.688	24.59
não incorp.	120	4	2	54	117.6	115.6	113	77.875	2433.594	23.077
não incorp.	120	4	3	57.2	113	58.6	81.667	47.381	777.344	28.037
não incorp.	120	4	4	52.8	100.6	79.6	78.846	51.154	519.531	26.316
não incorp.	120	8	1	60.2	113.6	84.6	87.941	54.265	1441.406	25
não incorp.	120	8	2	62.2	121.6	92.6	101.143	66.571	1820.313	24.53
não incorp.	120	8	3	53.8	116.8	86.6	135	85.143	2328.125	24
não incorp.	120	8	4	59.8	115.6	64.6	99.032	66.129	1601.563	24.59
não incorp.	120	16	1	82	150.2	94.6	121.455	88.182	3789.063	22.901
não incorp.	120	16	2	64.2	121.6	74.6	77.708	60.833	1140.625	25.21
não incorp.	120	16	3	76.8	148.2	57.6	128.085	88.511	3250	23.256
não incorp.	120	16	4	72.4	153	68.6	110.66	74.717	3093.75	26.087
