pc	op	tam
1	1	19.982
1	1	19.981
1	2	19.981
1	2	19.981
1	3	19.981
1	3	19.976
2	1	19.994
2	1	19.993
2	2	20.001
2	2	19.997
2	3	19.996
2	3	19.996
3	1	20.223
3	1	20.221
3	2	20.219
3	2	20.221
3	3	20.223
3	3	20.222
4	1	20.226
4	1	20.226
4	2	20.222
4	2	20.226
4	3	20.223
4	3	20.224
5	1	20.025
5	1	19.994
5	2	20.035
5	2	20.033
5	3	20.028
5	3	20.025
6	1	20.234
6	1	20.233
6	2	20.234
6	2	20.234
6	3	20.233
6	3	20.227
7	1	20.043
7	1	20.043
7	2	20.054
7	2	20.051
7	3	20.037
7	3	20.035
8	1	20.05
8	1	20.049
8	2	20.052
8	2	20.051
8	3	20.032
8	3	20.032
9	1	20.015
9	1	20.017
9	2	20.018
9	2	20.017
9	3	19.985
9	3	19.979
10	1	19.98
10	1	19.98
10	2	19.98
10	2	19.98
10	3	19.994
10	3	19.98
