amostra	conc
1	204
2	202
3	201
4	202
5	197
6	201
7	198
8	188
9	195
10	189
11	195
12	192
13	196
14	194
15	196
16	199
17	197
18	197
19	192
20	195
21	190
22	196
23	199
24	203
25	199
26	207
27	204
28	207
29	209
30	205
31	202
32	200
33	208
34	214
35	205
36	211
37	212
38	214
39	210
40	208
41	208
42	209
43	209
44	206
45	200
46	203
47	202
48	195
49	196
50	203
51	196
52	197
53	197
54	203
55	205
56	194
57	199
58	201
59	198
60	202
61	208
62	209
63	209
64	206
65	200
66	203
67	202
68	195
69	196
70	203
71	196
72	197
73	197
74	203
75	205
76	194
77	199
78	201
79	198
80	202
81	208
82	209
83	209
84	206
85	200
86	203
87	202
88	195
89	196
90	203
91	196
92	197
93	197
94	203
95	205
96	194
97	194
98	198
99	196
100	200
