amostra	temp
1	237.59
2	227.02
3	225.68
4	225.17
5	221.34
6	213.88
7	214.99
8	215.31
9	231.22
10	227.67
11	219.22
12	232.02
13	228.41
14	227.53
15	233.25
16	220.48
17	237.73
18	229.08
19	215.55
20	229.25
1	234.4
2	229.42
3	225.7
4	228.29
5	214.47
6	216.78
7	219.21
8	220.89
9	232.86
10	228.52
11	219.29
12	238.34
13	228.31
14	228.39
15	229.59
16	220.62
17	238.4
18	229.53
19	221.28
20	226.23
1	233.66
2	227.65
3	226.29
4	227.44
5	213.71
6	211.56
7	219.25
8	223.56
9	227.76
10	227.98
11	224.25
12	237.82
13	231.48
14	226.95
15	228.78
16	219.39
17	239.52
18	229.2
19	219.07
20	226.85
