amostra	vol
1	1001.47
2	1001.93
3	1000.74
4	1005.94
5	1000.85
6	1000.85
7	1000.85
8	998.65
9	997.43
10	992.17
11	1002.3
12	998.92
13	997.6
14	997.6
15	993.26
16	1000.95
17	1006.79
18	997.59
19	1004.45
20	999.92
1	1001.6
2	994.95
3	1003.44
4	1002.98
5	1003.93
6	1003.93
7	1003.93
8	998.04
9	996.73
10	988.24
11	1002.94
12	999.39
13	999.32
14	999.32
15	996.21
16	992.09
17	1001.61
18	999.56
19	1008.44
20	997.63
1	999.53
2	997.46
3	998.54
4	998.89
5	1002.34
6	1002.34
7	1002.34
8	998.06
9	998.04
10	993.35
11	1000.29
12	996.47
13	997.22
14	997.22
15	995.92
16	997.51
17	1002.68
18	1001.75
19	1004.59
20	1002.02
