solo	Ca	Mg	SB
CN	3.1	2.1	5.3
CN	4.1	2.4	6.8
CN	8.3	2.6	11.1
CN	5.2	2.3	7.7
CN	8.5	4.1	12.8
CN	4.2	2.5	6.9
CN	10.5	4.8	15.5
CN	6.9	3.1	10.4
CN	3.4	1.6	5.3
CN	2.6	1.8	4.5
CN	7.6	2.1	10
CN	5.4	3.6	9.2
CN	4.9	2.1	7.2
CN	10.4	4.8	15.5
CN	7.1	2.2	9.5
CN	5.1	2.2	7.4
CN	7.3	1.7	9.2
CN	5.7	1.2	7
CN	8.5	3.6	12.3
CN	7.3	2.2	9.6
CN	5.2	1.9	7.3
CN	5	2.5	7.7
CN	7.8	2.2	10.3
CN	6.2	1.8	8.2
CN	4.4	2.1	6.6
CN	7.9	3.1	11.2
CN	7	2.3	9.6
CN	5	2.5	7.6
CN	2.9	1.2	4.4
CN	6.4	2.6	9.1
P	2.3	1.7	4.1
P	2.5	2.5	5.1
P	1.8	2.1	4.1
P	3.4	2.5	6.1
P	1.8	1.1	3
P	3.7	1.4	5.2
P	1.4	0.7	2.2
P	1.5	0.6	2.2
P	2.8	2.2	5.1
P	1.4	0.8	2.3
P	1.8	0.6	2.5
P	1.9	1.7	3.7
P	2.8	0.8	3.7
