x1	x2	x3
12.8	29.56	45.19
14.12	26.54	49.29
19.09	33.26	49.79
15.98	31	51.73
16	28.94	50.3
16.51	31.67	48.06
14.05	30.11	55.15
14.34	26.47	46.84
16.87	29	52.16
21.93	38	39.24
15.21	30.68	54.02
15.54	27.37	51.52
17.71	30.2	51.66
14.42	29.99	52.5
13.38	31.61	52.33
13.91	29.59	44.19
15.53	29.3	53.71
16.4	28.96	46.56
18.35	30.15	52.18
13.59	27.7	52.33
19.08	31.26	48.59
13.95	29.94	54.73
16.11	34.52	52.69
17.1	29.39	52.03
18.81	31.48	49.79
15.27	29.54	43.11
14.8	31.88	48.08
17.39	28.88	50.69
18.02	34.02	49.58
9.52	25.23	45.89
