nfrut	prod	tam
26250	28701	7
28750	16113	6.1
35000	47943	8.2
13750	19366	7.3
41250	9873	6.7
38750	17005	6.9
46250	12862	6.9
50000	18159	7.2
40000	56300	9.3
41250	53921	7.5
41250	53255	7.2
32500	52022	9
40000	25400	11
30000	25890	9.8
45000	27850	9.9
48750	23140	10.7
38750	33378	8.4
53750	51380	8.4
56250	52423	8.3
43750	50366	8.3
22500	22510	10.2
46250	25650	9.1
36250	23220	10.8
27500	24000	10.3
41250	44131	11.1
47500	62878	11.2
48750	65880	11
36250	58998	11.1
25000	32000	7.4
31250	28640	7.9
32500	23890	6.7
31250	31350	9.2
