grup	x1	x2	x3	x4
Pre-dinastico primitivo	131	138	89	49
Pre-dinastico primitivo	125	131	92	48
Pre-dinastico primitivo	131	132	99	50
Pre-dinastico primitivo	119	132	96	44
Pre-dinastico primitivo	136	143	100	54
Pre-dinastico primitivo	138	137	89	56
Pre-dinastico primitivo	139	130	108	48
Pre-dinastico primitivo	125	136	93	48
Pre-dinastico primitivo	131	134	102	51
Pre-dinastico primitivo	134	134	99	51
Pre-dinastico primitivo	129	138	95	50
Pre-dinastico primitivo	134	121	95	53
Pre-dinastico primitivo	126	129	109	51
Pre-dinastico primitivo	132	136	100	50
Pre-dinastico primitivo	141	140	100	51
Pre-dinastico primitivo	131	134	97	54
Pre-dinastico primitivo	135	137	103	50
Pre-dinastico primitivo	132	133	93	53
Pre-dinastico primitivo	139	136	96	50
Pre-dinastico primitivo	132	131	101	49
Pre-dinastico primitivo	126	133	102	51
Pre-dinastico primitivo	135	135	103	47
Pre-dinastico primitivo	134	124	93	53
Pre-dinastico primitivo	128	134	103	50
Pre-dinastico primitivo	130	130	104	49
Pre-dinastico primitivo	138	135	100	55
Pre-dinastico primitivo	128	132	93	53
Pre-dinastico primitivo	127	129	106	48
Pre-dinastico primitivo	131	136	114	54
Pre-dinastico primitivo	124	138	101	46
Pre-dinastico antigo	124	138	101	48
Pre-dinastico antigo	133	134	97	48
Pre-dinastico antigo	138	134	98	45
Pre-dinastico antigo	148	129	104	51
Pre-dinastico antigo	126	124	95	45
Pre-dinastico antigo	135	136	98	52
Pre-dinastico antigo	132	145	100	54
Pre-dinastico antigo	133	130	102	48
Pre-dinastico antigo	131	134	96	50
Pre-dinastico antigo	133	125	94	46
Pre-dinastico antigo	133	136	103	53
Pre-dinastico antigo	131	139	98	51
Pre-dinastico antigo	131	136	99	56
Pre-dinastico antigo	138	134	98	49
Pre-dinastico antigo	130	136	104	53
Pre-dinastico antigo	131	128	98	45
Pre-dinastico antigo	138	129	107	53
Pre-dinastico antigo	123	131	101	51
Pre-dinastico antigo	130	129	105	47
