pais	cv	cb	ovo	leite	peixe	cere	carb	gnl	fv	agr	min	fab	fea	con	ser	fin	ssp	tc
Albania	10	1	1	9	0	42	1	6	2	55.5	19.4	0	0	3.4	4.3	15.3	0	3
Austria	9	14	4	20	2	28	4	1	4	7.4	0.3	26.9	1.2	8.5	19.1	6.7	23.3	6.4
Belgica	14	9	4	18	5	27	6	2	4	2.6	0.2	20.8	0.8	6.3	16.9	8.7	36.9	6.8
Bulgaria	8	6	2	8	1	57	1	4	4	19	0	3.5	0	6.7	9.4	1.5	20.9	7.5
Dinamarca	11	11	4	25	10	22	5	1	2	5.6	0.1	20.4	0.7	6.4	14.5	9.1	36.3	7
Finlandia	10	5	3	34	6	26	5	1	1	8.5	0.2	26.3	1.2	6.8	14.6	8.6	33.2	7.5
França	18	10	3	20	6	28	5	2	7	5.1	0.3	20.2	0.9	7.1	16.7	10.2	33.1	6.4
Grecia	10	3	3	18	6	42	2	8	7	22.2	0.5	19.2	1	6.8	18.2	5.3	19.8	6.9
Hungria	5	12	3	10	0	40	4	5	4	15.3	28.9	0	0	6.4	13.3	0	27.3	8.8
Irlanda	14	10	5	26	2	24	6	2	3	13.8	0.6	19.8	1.2	7.1	17.8	8.4	25.5	5.8
Italia	9	5	3	14	3	37	2	4	7	8.4	1.1	21.9	0	9.1	21.6	4.6	28	5.3
Paises Baixos 	10	14	4	23	3	22	4	2	7	4.2	0.1	19.2	0.7	0.6	18.5	11.5	38.3	6.8
Noruega	9	5	3	23	10	23	5	2	3	5.8	1.1	14.6	1.1	6.5	17.6	7.6	37.5	8.1
Polonia	7	10	3	19	3	36	6	2	7	23.6	3.9	24.1	0.9	6.3	10.3	1.3	24.5	5.2
Portugal	6	4	1	5	14	27	6	5	8	11.5	0.5	23.6	0.7	8.2	19.8	6.7	24.6	4.8
Romenia	6	6	2	11	1	50	3	5	3	22	2.6	37.9	2	5.8	6.9	0.6	15.3	6.8
Espanha	7	3	3	9	7	29	6	6	7	9.9	0.5	21.1	0.6	9.5	20.1	5.9	26.7	5.8
Suecia	10	8	4	25	8	20	4	1	2	3.2	0.3	19	0.8	6.4	14.2	9.4	39.5	7.2
Suica	13	10	3	24	2	26	3	2	5	5.6	0	24.7	0	9.2	20.5	10.7	23.1	6.2
Reinou Unido	17	6	5	21	4	24	5	3	3	2.2	0.7	21.3	1.2	7	20.2	12.4	28.4	6.5
USSR	9	5	2	17	3	44	6	3	3	18.5	0	28.8	0	10.2	7.9	0.6	25.6	8.4
Iugoslavia	4	5	1	10	1	56	3	6	3	5	2.2	38.7	2.2	8.1	13.8	3.1	19.1	7.8
