Alexandra Balclutha Blenheim Christchurch Dunedin Franz.Josef Greymouth Invercargill Milford Nelson Queenstown Te.anau Timaru
Alexandra 0 100 458 126 138 173 493 138 691 365 263 366 99
Balclutha 100 0 284 233 248 197 402 177 73 498 493 313 266
Blenheim 458 478 0 347 563 478 89 201 494 267 192 493 756
Christchurch 284 276 201 0 56 276 213 427 615 305 188 555 178
Dunedin 126 50 427 226 0 50 537 327 300 414 127 187 75
Franz.Josef 233 493 327 247 354 0 156 214 226 99 114 341 377
Greymouth 347 402 214 158 352 114 0 567 247 354 380 480 572
Invercargill 138 89 567 365 139 380 493 0 158 352 416 225 681
Milford 248 213 691 498 263 416 555 174 0 139 300 174 366
Nelson 563 537 73 267 493 300 187 632 756 0 228 632 117
Queenstown 56 156 494 305 192 228 341 118 178 572 0 118 230
Te.anau 173 138 615 414 188 366 480 99 75 681 117 0 315
Timaru 197 177 300 99 127 313 225 266 377 366 230 315 0
