id	sexo	sabor	aroma	cor	textu	utili	local	embal
1	1	5	5	4	5	3	4	1
2	0	1	2	1	2	3	4	1
3	1	4	5	3	4	5	5	4
4	1	4	5	3	5	4	5	4
5	1	5	5	4	5	5	5	5
6	0	2	3	1	3	2	3	2
7	0	1	2	1	2	3	4	3
8	1	3	4	2	5	4	5	4
9	1	3	4	2	4	2	3	2
10	1	4	5	3	5	2	3	2
11	1	4	5	3	5	4	5	4
12	0	1	2	1	3	2	3	2
13	1	3	4	2	4	3	4	4
14	1	5	5	4	5	3	4	1
15	1	2	3	1	3	4	5	3
16	1	4	5	3	5	2	3	2
17	0	2	3	1	3	2	3	2
18	0	5	5	4	5	2	3	2
19	0	2	3	1	3	3	4	4
20	1	2	3	1	4	4	5	2
21	1	5	5	4	5	4	5	4
22	1	5	5	4	5	2	3	3
23	0	2	3	1	3	5	5	4
24	1	4	5	3	5	5	5	5
25	0	4	5	3	5	3	4	4
26	1	4	5	3	5	3	4	4
27	1	5	5	4	5	5	4	5
28	0	5	5	4	5	4	5	4
29	0	4	5	3	5	4	5	4
30	0	2	3	1	3	3	4	2
31	0	2	3	1	3	3	4	2
32	0	3	4	2	4	4	5	4
33	0	3	4	2	4	3	4	3
34	0	1	2	1	2	3	4	3
35	1	5	5	4	5	4	5	3
36	0	3	4	2	5	3	4	4
37	0	2	3	1	3	3	4	2
38	0	2	3	1	3	3	4	2
39	1	4	5	3	5	3	4	4
40	0	1	2	2	2	2	3	1
41	0	2	3	1	3	1	2	1
42	1	5	5	4	5	2	3	2
43	1	3	4	2	4	2	3	2
44	1	3	4	2	4	5	5	5
45	0	4	5	3	5	4	5	5
46	1	5	5	4	5	3	4	4
47	1	3	4	2	4	4	5	3
48	0	5	5	4	5	4	5	2
49	0	3	4	2	4	4	5	3
50	1	5	5	4	5	3	4	3
51	1	3	4	3	4	3	4	4
52	1	2	3	1	3	3	4	3
53	1	1	2	2	2	4	5	4
54	1	5	5	4	5	4	5	3
55	1	1	2	2	2	1	2	1
56	1	4	5	3	5	2	3	2
57	1	4	5	3	5	3	4	5
58	1	1	2	2	2	4	5	5
59	1	2	3	1	3	5	4	5
60	0	4	5	3	5	3	4	2
61	1	3	4	2	4	3	4	4
62	1	5	5	4	5	2	3	2
63	0	5	5	4	5	4	5	3
64	1	5	5	4	5	2	3	1
65	0	2	3	1	3	3	4	2
66	1	1	2	2	2	3	4	5
67	0	1	2	2	2	4	5	3
68	1	1	2	1	2	3	4	3
69	1	3	4	2	4	4	5	2
70	1	5	5	4	5	2	3	3
71	0	4	5	3	5	3	4	1
72	1	5	5	4	5	5	4	4
73	1	1	2	1	2	4	5	3
74	0	1	2	1	2	4	5	3
75	1	5	5	4	5	4	5	3
76	0	4	5	3	5	2	3	2
77	0	4	5	3	5	2	3	1
78	1	4	5	3	5	2	3	3
79	1	4	5	3	5	4	5	4
80	0	5	5	4	5	4	5	2
81	1	3	4	2	4	4	5	3
82	0	2	3	1	3	3	4	4
