funcio	venda	lucro	clie	escri	logica	social	mate
1	23.25	24.00	24.45	4.5	6.0	4.5	10.0
2	22.20	22.95	24.20	3.5	5.0	5.0	7.5
3	23.75	25.07	24.75	4.0	6.0	4.5	13.0
4	25.32	25.95	26.70	6.5	7.0	6.0	14.5
5	25.50	26.95	25.75	5.0	7.5	6.0	16.0
6	23.95	24.37	24.82	5.0	7.0	5.5	10.5
7	23.87	24.87	24.75	4.5	6.0	4.5	12.5
8	27.70	30.50	28.82	9.0	10.0	7.5	25.5
9	25.70	27.07	25.95	5.0	8.5	6.5	15.5
10	26.70	30.12	25.50	7.0	9.0	5.5	19.5
11	25.82	27.45	26.00	6.0	8.5	6.0	16.0
12	24.87	27.95	25.07	5.0	9.0	4.0	15.5
13	25.87	28.12	26.75	8.0	8.5	5.5	17.0
14	24.87	26.37	25.57	4.0	5.0	5.5	17.0
15	25.00	26.75	25.70	6.5	5.0	4.0	17.0
16	20.37	23.37	23.75	3.5	4.5	2.5	8.0
17	25.32	26.32	25.70	5.5	6.0	5.5	16.0
18	25.82	27.70	25.87	5.5	7.0	5.5	17.5
19	23.82	26.07	25.75	2.5	7.0	6.5	15.0
20	24.87	26.32	26.57	8.5	8.5	5.5	13.5
21	22.12	23.82	23.95	5.0	6.0	3.5	7.5
22	24.82	28.75	26.07	2.5	5.5	5.5	21.0
23	21.87	23.12	23.95	4.5	4.5	3.5	8.0
24	26.32	28.50	26.32	6.0	7.5	6.0	18.5
25	26.75	30.25	27.25	8.0	9.5	6.0	19.5
26	23.32	25.50	24.45	5.0	7.5	3.5	11.5
27	26.70	29.50	26.82	7.0	8.0	6.0	19.5
28	26.70	30.00	26.20	5.0	8.0	5.5	24.5
29	23.07	22.70	24.95	4.0	5.0	6.5	8.5
30	26.57	30.25	26.12	4.5	8.5	5.5	22.0
31	26.50	29.87	27.62	9.0	7.5	5.0	21.5
32	22.07	23.20	24.20	6.5	5.5	4.0	5.0
33	24.00	25.82	25.12	3.5	7.5	5.5	13.5
34	23.57	23.62	24.75	5.0	6.0	5.5	9.5
35	26.62	30.37	27.62	9.0	8.5	5.0	21.0
36	26.62	28.87	26.75	4.0	6.5	7.0	23.5
37	23.00	24.87	25.87	9.0	8.0	4.0	9.0
38	25.50	24.95	25.82	6.5	6.0	7.0	14.0
39	27.07	30.57	27.12	7.5	9.5	6.0	20.5
40	26.70	29.75	26.70	7.0	10.0	6.0	18.5
41	21.07	22.45	23.57	4.0	4.0	4.0	4.5
42	26.07	27.37	26.62	7.0	6.0	6.0	18.0
43	26.50	29.62	26.25	6.0	8.0	5.5	19.5
44	21.07	22.45	23.57	4.0	4.0	4.0	4.5
