dom	loc	inst	nres	rendm	rendpc
1	1	3	4	10.3	2.575
2	1	3	4	15.4	3.85
3	1	2	4	9.6	2.4
4	1	2	5	5.5	1.1
5	1	3	4	9	2.25
6	1	1	1	2.4	2.4
7	1	3	2	4.1	2.05
8	1	3	3	8.4	2.8
9	1	3	6	10.3	1.71667
10	1	2	4	4.6	1.15
11	1	2	6	18.6	3.1
12	1	1	4	7.1	1.775
13	1	2	4	12.9	3.225
14	1	2	6	8.4	1.4
15	1	3	3	19.3	6.43333
16	1	2	5	10.4	2.08
17	1	3	3	8.9	2.96667
18	1	3	4	12.9	3.225
19	1	3	4	5.1	1.275
20	1	3	4	12.2	3.05
21	1	3	5	5.8	1.16
22	1	3	5	12.9	2.58
23	1	3	5	7.7	1.54
24	1	2	4	1.1	0.275
25	1	2	8	7.5	0.9375
26	1	3	4	5.8	1.45
27	1	1	5	7.2	1.44
28	1	3	3	8.6	2.86667
29	1	2	4	5.1	1.275
30	1	3	5	2.6	0.52
31	1	3	5	7.7	1.54
32	1	2	2	2.4	1.2
33	1	3	5	4.8	0.96
34	1	1	2	2.1	1.05
35	1	1	6	4	0.66667
36	1	1	8	12.5	1.5625
37	1	3	3	6.8	2.26667
38	1	3	5	3.9	0.78
39	1	3	5	9	1.8
40	1	3	3	10.9	3.63333
41	2	2	5	5.4	1.08
42	2	1	3	6.4	2.13333
43	2	1	6	4.4	0.73333
44	2	1	5	2.5	0.5
45	2	1	6	5.5	0.91667
46	2	1	8	4.8	0.6
47	2	3	4	14	3.5
48	2	2	4	8.5	2.125
49	2	1	5	7.7	1.54
50	2	2	3	5.8	1.93333
51	2	3	5	5	1
52	2	1	3	4.8	1.6
53	2	2	2	2.8	1.4
54	2	2	4	4.2	1.05
55	2	3	3	10.2	3.4
56	2	2	4	7.4	1.85
57	2	2	5	5	1
58	2	3	2	6.4	3.2
59	2	3	4	5.7	1.425
60	2	2	4	10.8	2.7
61	2	3	1	2.3	2.3
62	2	1	7	6.1	0.87143
63	2	1	3	5.5	1.83333
64	2	1	7	3.5	0.5
65	2	3	3	9	3
66	2	3	6	5.8	0.96667
67	2	1	6	4.2	0.7
68	2	3	3	6.8	2.26667
69	2	2	5	4.8	0.96
70	2	3	5	6	1.2
71	2	2	7	9	1.28571
72	2	1	4	5.3	1.325
73	2	3	4	3.1	0.775
74	2	3	1	6.4	6.4
75	2	1	3	3.9	1.3
76	2	2	3	6.4	2.13333
77	2	3	4	2.7	0.675
78	2	2	4	2.4	0.6
79	2	2	4	3.6	0.9
80	2	3	5	6.4	1.28
81	2	3	2	11.3	5.65
82	2	1	5	3.8	0.76
83	2	2	3	4.1	1.36667
84	3	1	5	1.8	0.36
85	3	3	5	7.1	1.42
86	3	1	3	13.9	4.63333
87	3	2	6	4	0.66667
88	3	1	6	2.9	0.48333
89	3	2	9	3.9	0.43333
90	3	1	4	2.2	0.55
91	3	2	3	5.8	1.93333
92	3	2	5	2.8	0.56
93	3	2	5	4.5	0.9
94	3	2	4	5.8	1.45
95	3	3	8	3.9	0.4875
96	3	2	7	2.8	0.4
97	3	1	3	1.3	0.43333
98	3	3	5	3.9	0.78
99	3	3	5	5	1
100	3	1	5	0.1	0.02
101	3	2	3	4.6	1.53333
102	3	2	4	2.6	0.65
103	3	1	6	2.3	0.38333
104	3	2	5	4.9	0.98
105	3	1	5	2.3	0.46
106	3	1	3	3.9	1.3
107	3	1	4	2.1	0.525
108	3	1	4	2.7	0.675
109	3	2	5	11.1	2.22
110	3	1	6	6.4	1.06667
111	3	3	7	25.7	3.67143
112	3	1	4	0.9	0.225
113	3	3	5	3.9	0.78
114	3	1	5	5.1	1.02
115	3	2	6	4.2	0.7
116	3	1	6	4.4	0.73333
117	3	1	7	7.9	1.12857
118	3	1	4	4.2	1.05
119	3	1	4	3.5	0.875
120	3	2	6	11.4	1.9
