cand	grupo	nota	histor
1	1	19.0	9.0
2	1	17.5	8.5
3	1	18.2	8.2
4	1	17.8	9.2
5	1	17.6	9.9
6	1	18.2	8.3
7	1	19.4	8.2
8	1	19.1	8.4
9	1	17.3	9.1
10	1	18.4	8.8
11	1	17.9	9.4
12	1	18.6	9.8
13	1	19.0	9.9
14	1	18.1	8.4
15	1	18.4	8.3
16	1	17.3	8.0
17	1	17.7	8.1
18	1	17.5	9.0
19	1	17.8	8.6
20	1	17.7	8.9
21	2	16.9	8.5
22	2	16.5	7.5	
23	2	16.6	8.8
24	2	16.2	7.0
25	2	16.8	7.4
26	2	15.9	7.1
27	2	16.1	8.3
28	2	15.7	7.8
29	2	15.8	7.9
30	2	16.7	7.5
31	2	16.8	7.6
32	2	15.9	7.0
33	2	15.7	7.6
34	2	15.4	7.4
35	2	16.3	7.9
36	3	14.8	6.9
37	3	14.6	6.5
38	3	13.4	6.8
39	3	12.5	6.7
40	3	14.7	6.0
41	3	13.2	6.1
42	3	12.1	6.5
43	3	11.0	6.5
44	3	11.7	6.8
45	3	11.2	6.2
46	3	14.5	6.9
47	3	13.8	6.7
48	3	13.9	6.5
49	3	14.7	6.4
50	3	12.4	5.7
51	3	11.3	5.9
52	3	10.6	6.0
53	3	10.2	5.2
54	3	9.0	4.0
55	3	9.5	5.0
56	3	12.4	6.3
57	3	12.7	5.9
58	3	13.0	6.8
59	3	8.0	5.1
60	3	11.8	5.8
61	3	10.9	4.5
62	3	14.6	6.9
