func	grupo	idade	sexo	ecivil	nfilho	anexp	testp	testc	satisf
1	0	24	1	1	0	2	7.7	36	1
2	0	29	1	1	0	4	7.9	36	1
3	0	38	1	0	1	6	8.6	40.8	0
4	1	27	1	1	0	3	8.5	44	1
5	1	33	1	1	0	4	8	36	1
6	1	29	1	1	1	4	8.5	42	1
7	0	38	1	1	0	8	9.2	44.8	1
8	0	35	0	0	1	5	7.9	46	1
9	1	32	1	0	0	4	9.9	44	1
10	0	36	0	1	0	6	8.3	40	1
11	0	33	0	1	0	5	6.4	32	1
12	0	36	1	0	3	4	7.2	44	1
13	1	30	0	0	2	3	9.5	44	1
14	1	26	1	1	0	2	8.8	40	1
15	0	37	0	1	0	5	8.2	50	1
16	1	25	0	1	2	2	9.4	44	1
17	1	38	1	1	0	6	9	40	0
18	1	31	1	0	4	5	9.2	40	1
19	1	37	1	0	5	7	9.4	44	1
20	0	38	1	1	0	5	6.9	36	1
21	1	30	1	0	2	4	8.9	40	1
22	0	29	1	0	1	3	7.4	36	1
23	1	34	0	1	1	4	9.1	40	1
24	1	25	0	1	0	2	8.9	40	0
25	1	34	1	0	0	4	8.3	40	1
26	0	30	1	1	0	3	7.8	36	0
27	0	37	1	1	0	5	8.2	43.2	1
28	0	26	1	1	0	3	7.2	36	1
29	1	33	1	0	1	6	9.8	44	1
30	0	25	1	1	0	2	7.9	36	1
31	0	26	1	1	0	2	6.5	32	0
32	0	32	1	1	0	4	6.8	32	1
33	0	28	1	0	1	4	7.3	36	1
34	1	30	1	1	0	5	8.9	40	1
35	1	27	1	1	0	2	8.6	40	1
36	1	34	0	1	0	5	8.9	40	0
37	1	35	1	1	0	5	9.4	44	1
38	0	24	0	1	0	2	6.6	32	1
39	0	30	1	1	0	3	6.4	32	1
40	1	29	1	1	0	4	8.8	40	0
41	1	31	0	1	0	4	8.6	40	1
42	1	28	1	1	0	4	9.4	44	1
43	1	37	1	1	0	8	8.2	40	1
44	0	36	1	1	0	6	6.8	32	1
45	0	33	1	1	0	6	7.4	36	1
46	1	38	1	0	3	10	9	40	1
47	0	25	1	1	0	2	6.3	32	1
48	0	27	1	1	0	2	6.9	36	0
49	1	37	1	1	0	6	8.5	40	1
50	0	24	1	1	0	2	7.2	36	1
51	1	35	0	1	0	5	9.9	44	1
52	0	33	1	0	1	4	7.6	36	1
53	1	29	1	1	0	3	8.5	40	1
54	1	27	1	1	0	2	8.7	40	1
55	1	27	0	1	0	4	8.6	40	1
56	1	27	0	0	0	4	9.5	44	1
57	1	32	1	1	0	4	8.8	40	1
58	1	34	1	0	0	5	9.2	40	1
59	1	32	0	1	0	5	8.1	36	0
60	0	31	1	0	2	5	7.7	36	1
61	0	25	1	1	0	2	6.7	32	1
62	1	38	1	0	2	7	8.5	40	1
63	0	29	1	1	0	5	7.9	36	1
64	0	25	1	0	1	2	7.6	36	1
65	1	28	1	1	0	3	9.3	40	1
66	0	37	1	1	0	6	6.5	32	1
67	1	30	1	1	0	4	9.6	44	1
68	0	32	0	1	0	4	6.9	36	0
69	1	28	1	1	0	3	9	40	0
70	1	25	0	1	0	2	9	40	0
71	1	26	0	1	0	2	8	36	0
72	0	33	0	1	0	5	7.9	36	1
73	1	35	1	0	2	5	8.7	40	1
74	1	33	1	1	0	4	9.8	44	1
75	1	33	1	0	0	5	9.7	44	1
76	1	38	0	0	4	9	9.3	40	0
77	1	31	0	1	0	4	8.6	40	1
78	1	28	1	1	0	3	8.4	40	1
79	0	30	0	0	1	3	6.5	32	1
80	0	35	1	1	0	4	7	36	0
81	0	29	0	1	0	3	7.2	36	1
82	1	33	1	1	0	5	9.1	40	1
83	0	35	1	1	0	4	7.5	36	1
84	1	32	0	1	0	5	9.3	40	0
85	1	37	1	1	0	4	8.4	40	1
86	0	31	1	0	1	4	7.4	36	1
87	1	34	1	0	0	6	9.7	44	0
88	0	32	1	0	0	5	7.8	36	0
89	0	30	1	1	0	3	7.9	36	0
90	1	28	1	1	0	3	8.2	40	1
91	0	34	0	0	2	6	6.8	32	1
92	1	35	1	0	2	6	8.1	36	1
93	1	31	0	0	1	4	8.7	40	1
94	1	28	0	1	0	4	9.5	44	1
95	1	45	0	0	4	16	9.8	44	0
96	1	40	0	0	2	12	9.2	40	0
97	0	30	1	1	0	4	7.7	36	1
98	0	31	1	1	0	3	7.5	36	1
99	1	32	1	0	1	4	8	36	1
100	1	24	0	1	0	2	8.5	40	0
101	1	34	1	1	0	6	8.9	40	1
102	0	26	0	1	0	3	7.8	36	0
103	1	35	1	0	1	8	9.3	40	1
104	1	32	0	1	0	5	9	40	1
105	0	24	1	1	0	2	7.6	36	1
106	0	27	1	1	0	2	7.3	36	1
107	0	24	1	1	0	2	7.3	36	0
108	0	27	1	0	0	3	7.4	36	1
109	1	42	1	0	2	14	9.9	44	1
