t	Zt	Zt_	Yt	Zt_12	Zt_5	dZt
1	84.6	NA	NA	NA	NA	NA
2	89.9	85.5	4.4	NA	NA	5.3
3	81.9	89.1	-7.2	NA	NA	-8
4	95.4	89.5	5.9	NA	NA	13.5
5	91.2	92.1	-0.9	NA	NA	-4.2
6	89.9	90.2	-0.4	NA	91.2	-1.4
7	89.7	92.5	-2.8	97.9	95.4	-0.1
8	97.9	97	0.9	100.1	97.9	8.2
9	103.4	103	0.4	102.7	103.4	5.5
10	107.6	110.5	-2.9	105.8	107.6	4.2
11	120.4	112.5	7.9	109.2	109.6	12.8
12	109.6	113.4	-3.8	113.3	110.3	-10.8
13	110.3	112.7	-2.4	117.9	116.5	-3.1
14	118.1	115	3.1	122.7	118.1	7.8
15	116.5	122.9	-6.4	128	120.4	-1.6
16	134.2	128.5	5.7	133.5	134.2	17.7
17	134.7	137.9	-3.2	138.6	134.7	0.5
18	144.8	141.3	3.5	143.5	144.4	10.1
19	144.4	149.5	-5.1	NA	144.8	-0.4
20	159.2	157.3	1.9	NA	NA	14.8
21	168.2	167.5	0.7	NA	NA	9
22	175.2	172.6	2.6	NA	NA	7
23	174.5	174.5	0	NA	NA	0.7
24	173.7	NA	NA	NA	NA	0.8
