Ano	Jan	Fev	Mar	Abr	Mai	Jun	Jul	Ago	Set	Out	Nov	Dez
1969	7.78	7.351	8.317	8.036	8.424	8.3	8.985	8.589	8.564	8.614	8.102	8.044
1970	8.209	7.738	8.828	9.15	8.96	9.282	9.934	9.549	9.572	10.272	9.991	9.537
1971	8.761	8.501	9.642	9.058	9.256	9.799	10.828	11.063	10.652	11.278	10.661	10.5
1972	9.759	9.876	10.664	10.11	11.055	11.615	11.73	12.587	12.046	12.852	12.259	12.214
1973	11.798	11.278	11.945	11.695	12.734	13.405	13.836	14.388	14.069	15.519	14.68	14.104
1974	13.577	12.451	13.856	13.812	14.28	13.692	15.502	15.423	14.947	16.031	14.462	13.791
1975	13.608	12.794	13.889	14.555	14.545	15.114	15.886	15.541	15.77	16.375	15.386	14.927
1976	14.829	15.297	16.33	15.807	16.623	17.196	17.691	18.012	17.625	18.244	17.102	16.744
1977	15.385	15.062	17.896	16.262	17.82	17.911	17.818	18.41	17.658	18.273	17.922	16.987
1978	16.681	15.886	18.281	17.478	18.412	18.849	19.023	20.372	19.262	20.57	19.304	18.407
1979	18.633	17.497	19.47	18.884	20.308	20.146	20.258	21.614	19.717	22.133	20.503	18.8
1980	19.577	18.992	21.022	19.064	21.067	21.553	22.513	NA	NA	NA	NA	NA
