Mes	1973	1974	1975	1976	Totais	Yj	Sj
1	NA	-514.42	-925.58	-1076.97	-2516.79	-838.93	-873.68
2	NA	-1752.96	-1760.5	-786.96	-4300.42	-1433.47	-1468.28
3	NA	-408.92	-723.46	-65.79	-1066.59	-355.53	-390.28
4	NA	-492.08	-124.83	-612.37	-1229.28	-409.76	-444.51
5	NA	-36.33	-187.67	54.25	-169.75	-56.88	-91.63
6	NA	-602.21	295.5	490.04	173.33	57.78	23.03
7	474.29	1219.54	969.29	NA	2663.12	887.71	852.96
8	903.29	1132.96	469.13	NA	2505.38	835.13	800.38
9	455.79	633.29	492.13	NA	1581.21	527.07	493.32
10	1737.96	1684.96	943.25	NA	4366.17	1455.39	1420.64
11	746.33	73.96	-184.5	NA	635.79	211.93	177.18
12	93.96	-667.33	-816.83	NA	-1390.2	-463.4	-498.15
