Mes	1973	1974	1975	1976
Jan	12671.68	14450.68	14481.68	15702.68
Fev	12746.22	13919.22	14262.22	16765.22
Mar	12335.28	14246.51	14279.28	16720.28
Abr	12139.51	14256.51	14999.51	16248.51
Mai	12825.63	14371.63	14636.63	16714.63
Jun	13381.97	13668.97	15090.97	17172.97
Jul	12983.04	14649.04	15033.04	16838.04
Ago	13587.62	14622.62	14740.62	17211.62
Set	13576.68	14454.68	15277.68	17132.68
Out	14098.38	14610.36	14954.36	16823.36
Nov	14502.32	14284.82	15208.82	16924.82
Dez	14602.15	14289.15	15425.15	17242.15
