est	taxa	licen	renda	estr	cons
ME	9.00	0.525	3571	1976	541
VT	9.00	0.580	3865	1586	561
RI	8.00	0.544	4399	431	410
NY	8.00	0.451	5319	11868	344
PA	8.00	0.529	4447	8577	464
IN	8.00	0.530	4391	5939	580
MI	7.00	0.574	4817	6930	525
MN	7.00	0.608	4332	8159	566
MO	7.00	0.572	4206	8508	603
SD	7.00	0.724	4716	5915	865
KS	7.00	0.663	4593	7834	649
MD	9.00	0.511	4897	2449	464
WV	8.50	0.551	4574	2619	460
SC	8.00	0.548	3448	5399	577
FL	8.00	0.563	4188	5975	574
TN	7.00	0.518	3640	6905	571
MS	8.00	0.578	3063	6524	577
LA	8.00	0.487	3528	3495	487
TX	5.00	0.566	4045	17782	640
ID	8.50	0.663	3635	3274	648
CO	7.00	0.626	4449	4639	587
AZ	7.00	0.603	4300	3635	632
NV	6.00	0.672	5215	2302	782
OR	7.00	0.623	4296	4083	610
NH	9.00	0.572	4092	1250	524
MA	7.50	0.529	4870	2351	414
CT	10.00	0.571	5342	1333	457
NJ	8.00	0.553	5126	2138	467
OH	7.00	0.552	4512	8507	498
IL	7.50	0.525	5126	14186	471
WI	7.00	0.545	4207	6580	508
IA	7.00	0.586	4318	10340	635
ND	7.00	0.540	3718	4725	714
NE	8.50	0.677	4341	6010	640
DE	8.00	0.602	4983	602	540
VA	9.00	0.517	4258	4686	547
NC	9.00	0.544	3721	4746	566
GA	7.50	0.579	3846	9061	631
KY	9.00	0.493	3601	4650	534
AL	7.00	0.513	3333	6594	554
AR	7.50	0.547	3357	4121	628
OK	6.58	0.629	3802	7834	644
MT	7.00	0.586	3897	6385	704
WY	7.00	0.672	4345	3905	968
MN	7.00	0.563	3656	3985	699
UT	7.00	0.508	3745	2611	591
WA	9.00	0.571	4476	3942	510
CA	7.00	0.593	5002	9794	524
