valor	rl	mes	to
119.6	não	104	0.1
290	não	107	0.1
30	não	107	0.1
40	não	110	0.1
21450	sim	110	0.1
350	não	113	0.1
6000	sim	114	0.1
217	não	115	0.1
109.5	não	115	0.1
878.37	sim	104	0.2
139.35	não	104	0.2
4590	sim	107	0.2
3900	sim	109	0.2
421.3	não	114	0.2
114.57	não	103	0.3
5575.74	sim	106	0.3
4476	sim	107	0.3
396.05	não	111	0.3
5882.9	sim	110	0.3
6500	sim	112	0.3
102.4	não	112	0.3
253.26	sim	104	0.4
8000	sim	107	0.4
8168.9	sim	110	0.4
10854.9	sim	112	0.4
120.6	não	103	0.5
4774.5	sim	106	0.5
1236.09	não	111	0.5
293.2	não	112	0.5
1643.45	não	112	0.5
887.94	não	103	0.6
9467.75	sim	107	0.6
1199.35	não	108	0.6
32	não	110	0.6
57.55	não	110	0.6
1969.15	não	112	0.6
150.75	não	105	0.7
3994.88	sim	104	0.7
5045.35	sim	107	0.7
4250	sim	110	0.7
2272.85	não	113	0.7
270.52	não	112	0.7
100.5	não	104	0.8
150	não	106	0.8
211.8	não	108	0.8
58.5	não	110	0.8
4746	sim	109	0.8
4346	sim	112	0.8
473.76	não	105	0.9
9950	sim	107	0.9
9742.5	sim	109	0.9
5500	sim	112	0.9
1800	sim	112	0.9
5025	sim	104	1
4000	sim	108	1
7956.3	não	108	1
1086	não	109	1
6000	sim	111	1
5000	não	112	1
60.7	não	105	1.1
108.54	não	105	1.1
109	sim	107	1.1
300	não	109	1.1
4000	não	112	1.1
3015	sim	105	1.2
3204.1	não	108	1.2
7073.5	sim	108	1.2
7527.3	sim	109	1.2
60	não	111	1.2
1727.03	sim	103	1.3
287.1	não	107	1.3
6078.5	sim	110	1.3
7704.79	sim	105	1.4
7802.55	sim	107	1.4
5249	não	109	1.4
8043.15	sim	111	1.4
4300.24	sim	104	1.5
3000	sim	107	1.5
7338.1	sim	106	1.5
2598.1	sim	110	1.5
5025	sim	104	1.6
5470.22	sim	104	1.6
5171.8	sim	107	1.6
82.49	não	110	1.6
4020	sim	104	1.7
14000	não	108	1.7
6700	sim	106	1.7
6316.5	sim	109	1.7
4000	não	110	1.7
5208.92	sim	104	1.8
4676.35	sim	106	1.8
4500	sim	109	1.8
7572.17	sim	104	1.9
6695.65	sim	106	1.9
5506	sim	108	1.9
77	não	111	1.9
7005.05	sim	110	1.9
4476	sim	105	2
5527.5	sim	103	2
4000	sim	106	2
11250	sim	110	2
522.36	não	105	2.1
6875.15	sim	106	2.1
6553	sim	107	2.1
9000	sim	109	2.1
10213	sim	110	2.1
2652.85	sim	104	2.2
12750	não	106	2.2
5098.52	sim	110	2.2
2512.5	não	104	2.3
5139.6	não	108	2.3
6670.5	sim	107	2.3
12000	sim	109	2.3
4500	sim	111	2.3
1750	sim	105	2.4
6179.49	sim	106	2.4
11000	sim	109	2.4
5527.5	sim	103	2.5
2382.61	sim	103	2.5
718	não	107	2.5
15000	sim	110	2.5
5500	sim	110	2.5
121.1	não	104	2.6
5955	sim	106	2.6
6000	sim	107	2.6
3000	não	110	2.6
100	não	105	2.7
7097	sim	107	2.7
5000	sim	109	2.7
6969.68	não	103	2.8
3869	não	107	2.8
7213.5	sim	108	2.8
1314.1	não	109	2.8
6342.15	sim	110	2.8
4920.01	sim	105	2.9
1801.35	não	106	2.9
24435	sim	110	2.9
1325	sim	105	3
168.84	não	103	3
10000	sim	106	3
6673.5	sim	107	3
24135	sim	110	3
1885.65	não	109	3
9805.1	sim	105	3.1
6458.05	sim	106	3.1
11874.5	sim	110	3.1
5303.45	sim	103	3.2
10000	sim	106	3.2
5000	sim	107	3.2
8000	sim	110	3.2
4000	sim	111	3.2
3148	sim	105	3.3
1021	não	108	3.3
6719.5	sim	109	3.3
5793.17	sim	103	3.4
14725.81	sim	105	3.4
7987.5	não	106	3.4
3100	sim	109	3.4
500.35	não	109	3.4
2729.4	não	105	3.5
2894.1	não	106	3.5
1994	sim	106	3.5
500	não	109	3.5
7248.36	sim	103	3.6
5309	não	108	3.6
38	não	109	3.6
375.87	não	103	3.7
427.17	não	106	3.7
7765	sim	108	3.7
1800	sim	110	3.7
5000	sim	111	3.7
5000	sim	104	3.8
6248.35	sim	108	3.8
4938	sim	109	3.8
6424	sim	104	3.9
6400	sim	104	3.9
6144.05	não	106	3.9
10081.15	sim	108	3.9
5598	sim	111	3.9
2762	não	110	3.9
1219.5	não	104	4
3515.8	sim	106	4
4699	sim	111	4
9664.62	sim	105	4.1
9481.94	sim	108	4.1
5000	não	107	4.1
1220.21	não	109	4.1
3976	sim	110	4.1
878.12	não	105	4.2
20000	sim	106	4.2
3500	sim	110	4.2
4991.75	sim	103	4.3
4500	sim	104	4.3
3455	sim	108	4.3
2500	sim	111	4.3
4500	sim	109	4.3
3718.5	sim	103	4.4
12417	sim	108	4.4
5963.2	sim	107	4.4
5541	sim	111	4.4
649.68	não	103	4.5
370.05	não	107	4.5
5000	sim	111	4.5
5000	sim	109	4.5
6524.56	sim	103	4.6
7293.35	sim	107	4.6
37413.25	sim	108	4.6
3021	não	109	4.6
5098	sim	105	4.7
383.8	não	107	4.7
6795.5	sim	110	4.7
10000	sim	105	4.8
6505.16	não	103	4.8
3500	sim	106	4.8
4000	sim	106	4.8
8500	sim	111	4.8
19912.57	sim	110	4.8
5000	sim	104	4.9
6295.3	sim	106	4.9
8742	sim	111	4.9
19000	sim	104	5
17904.38	sim	107	5
7074.55	sim	107	5
5628.75	sim	109	5
17901.5	sim	111	5
2920	sim	105	5.1
33000	sim	107	5.1
4000	sim	109	5.1
8229.4	sim	104	5.2
8090.76	não	105	5.2
10213.55	sim	106	5.2
7827.01	sim	106	5.2
1624.99	não	111	5.2
744.5	não	109	5.2
2788.25	não	104	5.3
2521	sim	107	5.3
11500	sim	110	5.3
5136.19	sim	103	5.4
16368.5	sim	107	5.4
8104	sim	110	5.4
2736.9	não	110	5.4
12000	sim	105	5.5
3000	sim	107	5.5
4708.65	não	106	5.5
5500	sim	109	5.5
2551.25	sim	104	5.6
15066.15	sim	108	5.6
6000	sim	109	5.6
413.2	não	110	5.6
9423.05	sim	103	5.7
5768	não	105	5.7
14546.6	sim	107	5.7
25000	sim	107	5.7
3250	sim	110	5.7
4989.5	sim	104	5.8
7055.51	sim	106	5.8
21756.25	não	109	5.8
4472.85	sim	105	5.9
3251.7	sim	107	5.9
4717	sim	107	5.9
12408.59	não	110	5.9
7615.95	não	110	5.9
2000	sim	104	6
15591	sim	106	6
5000	sim	110	6
10342.86	sim	104	6.1
5372.3	sim	105	6.1
5039	sim	108	6.1
2000	não	107	6.1
2319	não	110	6.1
104.9	não	109	6.1
8073.28	não	104	6.2
2302.2	não	107	6.2
9653.91	não	110	6.2
4209	não	105	6.3
7000	não	106	6.3
5543	sim	110	6.3
20000	sim	109	6.3
6164.47	sim	103	6.4
5606.15	sim	107	6.4
22930	não	108	6.4
15000	sim	109	6.4
6724.5	sim	104	6.5
2628.32	não	106	6.5
4700	sim	109	6.5
8172.5	sim	110	6.5
1958.4	não	104	6.6
5110.66	não	105	6.6
16999.9	sim	107	6.6
9009.05	sim	107	6.6
3658.5	sim	109	6.6
6781.35	não	104	6.7
4691.5	sim	106	6.7
20245.58	sim	109	6.7
10329	sim	109	6.7
6439.17	não	104	6.8
9138.9	sim	108	6.8
7494.5	sim	106	6.8
3591	sim	109	6.8
5275	sim	104	6.9
6602.5	sim	107	6.9
3581.5	sim	109	6.9
3323	sim	104	7
5929.54	sim	104	7
3250	não	108	7
7000	sim	106	7
2376.66	não	109	7
6704.35	sim	109	7
5522.05	sim	104	7.1
7089.5	não	107	7.1
6920.35	sim	109	7.1
6933.49	sim	103	7.2
11704.85	não	106	7.2
3457.75	não	109	7.2
776.54	não	109	7.2
5792.21	sim	105	7.3
4999.05	sim	107	7.3
1272	não	108	7.3
82.49	não	109	7.3
8782.55	sim	105	7.4
7781.36	sim	107	7.4
1073.7	não	109	7.4
2915.07	sim	109	7.4
5200.5	não	103	7.5
5091.83	sim	104	7.5
5568	não	107	7.5
11512.49	sim	106	7.5
2932.4	sim	109	7.5
7693.56	sim	104	7.6
3315	não	106	7.6
778.67	não	109	7.6
15000	sim	104	7.7
7500	sim	108	7.7
5000.11	sim	106	7.7
4146	sim	104	7.8
4908	sim	106	7.8
7099.5	sim	104	7.9
2265.15	sim	107	7.9
7027	não	108	7.9
23000	não	105	8
13000	sim	104	8
10156.65	sim	107	8
6500	sim	103	8.1
5000	sim	107	8.1
6631.4	sim	106	8.1
6550	sim	105	8.2
5388	sim	107	8.2
15313.15	não	105	8.3
3500	sim	107	8.3
7791.32	sim	104	8.4
5600	sim	103	8.4
6326.5	sim	107	8.4
7022.65	sim	107	8.4
4672.1	sim	104	8.5
4285	sim	108	8.5
5544.9	sim	105	8.6
6780.5	sim	107	8.6
6000	sim	108	8.6
4138.6	não	105	8.7
1710.15	não	107	8.7
14138.89	sim	103	8.8
9437.85	sim	106	8.8
3001	sim	106	8.8
8500	sim	103	8.9
15174.5	sim	105	8.9
15163.1	sim	107	8.9
5119	sim	104	9
4530	sim	106	9
5000	sim	106	9
9084	sim	104	9.1
8564	sim	108	9.1
8212.83	sim	105	9.2
6021	sim	106	9.2
6200	não	104	9.3
2269.09	sim	103	9.3
1500	sim	106	9.3
11133.3	sim	108	9.3
7666.65	sim	105	9.4
4075.85	sim	107	9.4
8751.43	não	103	9.5
4151.85	sim	107	9.5
9839.5	sim	106	9.5
5955	sim	104	9.6
10457	sim	106	9.6
6713.71	sim	105	9.7
4550	sim	106	9.7
17962.28	não	108	9.7
7890.39	sim	103	9.8
27757.95	não	103	9.8
5000	sim	108	9.8
6000	não	103	9.9
47446.5	sim	107	9.9
12358	sim	108	9.9
8828.56	sim	105	10
10575	não	106	10
4000	sim	103	10.1
9646.5	sim	106	10.1
361.75	não	104	10.2
10687.42	sim	104	10.2
6800	sim	106	10.2
7500	sim	106	10.2
7384.95	sim	103	10.3
17959.32	não	106	10.3
5982.53	sim	105	10.4
7038.93	sim	106	10.4
2000	sim	108	10.4
11553.25	não	103	10.5
15466.15	sim	106	10.5
7201.5	não	105	10.6
9354.9	sim	106	10.6
15104	sim	107	10.6
6673.3	sim	105	10.7
21502.25	sim	105	10.7
2800	não	106	10.7
13715.24	sim	103	10.8
500	não	107	10.8
6750	sim	106	10.8
1025.08	não	103	10.9
14709.6	sim	106	10.9
9990	sim	103	11
7101.1	sim	108	11
1322.5	não	106	11
3897	sim	105	11.1
9900	sim	105	11.1
10152.4	sim	106	11.1
5664.5	sim	104	11.2
6798.67	sim	106	11.2
11949.74	sim	104	11.3
14000	sim	107	11.3
2500	não	108	11.3
6901.6	sim	105	11.4
9722.3	não	106	11.4
5625	sim	104	11.5
10344.9	sim	106	11.5
5022.45	sim	108	11.5
3579.36	sim	104	11.6
5136.11	sim	104	11.6
11377.15	sim	108	11.6
8001.67	sim	104	11.7
8117.84	sim	106	11.7
12555.35	sim	108	11.7
5000	não	105	11.8
17977.1	sim	107	11.8
7500	sim	103	11.9
6149.45	sim	108	11.9
33796	sim	108	11.9
8831.05	sim	103	12
13688.55	sim	105	12
306.41	não	106	12
6607.15	sim	103	12.1
5393.95	sim	106	12.1
7673	sim	105	12.2
4751.41	sim	106	12.2
9456.65	sim	106	12.2
4729.45	sim	104	12.3
3503	sim	106	12.3
6958.97	sim	103	12.4
3360.97	não	108	12.4
5099.6	sim	106	12.4
4395.53	não	104	12.5
3493.5	sim	105	12.5
4257.45	sim	108	12.5
2000	sim	104	12.6
7500	sim	106	12.6
8908.4	sim	107	12.6
1984.06	não	103	12.7
8070.3	sim	106	12.7
624.38	sim	103	12.8
10395.38	sim	106	12.8
16149.55	sim	108	12.8
5144.15	sim	104	12.9
6154.7	sim	108	12.9
5000	sim	104	13
5000	sim	103	13
12000	sim	107	13
8855	sim	104	13.1
1000	sim	106	13.1
6113	sim	107	13.1
18707.16	sim	104	13.2
2129.03	não	108	13.2
9000	não	105	13.3
3552.66	não	108	13.3
5000	sim	107	13.3
6038	sim	104	13.4
3480.3	sim	103	13.4
16000	sim	107	13.4
3480.3	sim	103	13.5
10979.39	sim	106	13.5
6874.25	sim	108	13.5
8296.95	sim	105	13.6
6333	sim	106	13.6
5409.66	não	104	13.7
4250	sim	106	13.7
8500	sim	107	13.7
5000	sim	103	13.8
322.15	não	106	13.8
7460	sim	104	13.9
12000	sim	105	13.9
32500	sim	106	13.9
5309.1	sim	104	14
4443	não	107	14
1333.2	não	108	14
5040	não	105	14.1
37806.2	sim	108	14.1
7063	sim	103	14.2
12310.25	sim	108	14.2
4248.3	sim	107	14.2
32691	sim	105	14.3
6000	sim	104	14.3
5000	sim	106	14.3
4000	sim	104	14.4
6958.5	sim	107	14.4
20000	sim	107	14.4
5497	sim	105	14.5
18712.42	não	106	14.5
43600	sim	103	14.6
2618.66	não	106	14.6
7762.35	sim	106	14.6
5176	não	105	14.7
6887.4	sim	107	14.7
12804.25	sim	105	14.8
5026	sim	103	14.8
76255.76	sim	107	14.8
26275.83	sim	106	14.8
7468.18	não	103	14.9
8135	sim	106	14.9
8648.5	não	104	15
5428	sim	107	15
3800	sim	103	15.1
3060.35	não	106	15.1
13500	sim	107	15.1
30579.89	sim	103	15.2
12971.55	não	103	15.2
18872.7	sim	107	15.2
2500	sim	104	15.3
11500	sim	107	15.3
16164.15	sim	106	15.3
9665.85	sim	103	15.4
15460	sim	106	15.4
10437.64	não	103	15.5
6202.5	sim	106	15.5
3000	sim	107	15.5
15268.64	sim	105	15.6
9152.1	sim	106	15.6
17215	sim	104	15.7
6096.5	não	104	15.7
5285.6	não	106	15.7
4064.16	não	106	15.7
5500	sim	105	15.8
1350	sim	107	15.8
11049.05	não	105	15.9
6548.33	sim	106	15.9
7000	não	103	16
7000	sim	107	16
3036.46	não	107	16
5770.01	não	105	16.1
2780.55	sim	104	16.1
9248.35	sim	106	16.1
14979.07	sim	104	16.2
5064.45	sim	106	16.2
31.49	não	107	16.2
7675.2	sim	105	16.3
14909.15	sim	106	16.3
3750	sim	105	16.4
6563.52	não	107	16.4
8500	não	106	16.4
5381.51	sim	103	16.5
11363	sim	107	16.5
6815.15	sim	104	16.6
713	não	104	16.6
5000	não	107	16.6
3000	sim	106	16.6
4000	sim	103	16.7
4923.36	sim	106	16.7
14336.51	sim	103	16.8
11100	não	106	16.8
45132.03	não	103	16.9
6460	sim	106	16.9
1213.78	não	106	16.9
6750	sim	105	17
12783.42	sim	104	17
14950	sim	106	17
8301.51	sim	103	17.1
3342.95	não	106	17.1
2439.9	não	106	17.1
7850.95	sim	103	17.2
515.91	não	106	17.2
3000	sim	104	17.3
4691.16	sim	106	17.3
8900	não	104	17.4
8375.1	sim	104	17.5
7620.55	não	105	17.5
3556.32	sim	104	17.6
5444.15	sim	104	17.7
2170.43	não	105	17.8
7670.05	sim	104	17.9
2510.12	sim	103	18
8706.32	sim	103	18
10590.1	não	104	18.1
13592.41	sim	105	18.2
17677.75	não	105	18.3
2444.78	sim	104	18.4
4116	não	104	18.4
10000	sim	103	18.5
16000	não	104	18.6
6791.82	sim	104	18.7
11860.92	sim	105	18.8
2118.15	sim	104	18.9
17336.25	não	104	18.9
6507.65	sim	105	19
4650	sim	105	19.1
6000	sim	105	19.2
6300	sim	104	19.3
15128.32	sim	104	19.3
3000	sim	105	19.4
5500	sim	103	19.5
3000	não	105	19.6
9319.67	sim	103	19.7
7642.26	sim	105	19.8
7496.88	sim	104	19.8
20486	não	104	19.9
8999.75	sim	105	20
10186.92	sim	105	20.1
8354.5	não	105	20.2
3886.25	não	104	20.2
17500	não	104	20.3
7915.3	sim	104	20.4
2656.07	não	104	20.5
8639.8	sim	103	20.6
4380.77	sim	103	20.7
9314.08	sim	103	20.7
5379.15	sim	104	20.8
10000	sim	105	20.9
14958.35	sim	105	21
17708.09	sim	104	21.1
5021	sim	103	21.1
6800	sim	103	21.2
21241.09	sim	103	21.3
10000	não	105	21.4
18849.9	sim	104	21.5
864	não	103	21.6
18286	sim	104	21.6
8000	não	105	21.7
1570.82	sim	104	21.8
11000	sim	105	21.9
2000	sim	105	22
4581.1	sim	103	22
9227.21	sim	104	22.1
29000	sim	104	22.2
529.4	sim	105	22.3
517	não	104	22.4
5650	sim	105	22.5
7642.15	sim	103	22.5
31207.99	sim	103	22.6
5002.21	sim	105	22.7
3878	sim	105	22.8
7000	sim	105	22.9
14736.74	sim	103	23
2761.5	não	103	23
5600	sim	105	23.1
5275	sim	103	23.2
8331.2	sim	103	23.3
67750	sim	104	23.4
3750	sim	104	23.4
8225.66	sim	104	23.5
13000	sim	103	23.6
8171.12	sim	103	23.7
16038.25	sim	104	23.8
14000	sim	105	23.9
3892	sim	103	23.9
6033.17	sim	103	24
5380	não	103	24.1
3125	não	103	24.2
13946	sim	103	24.3
8500	sim	104	24.3
10746.16	sim	103	24.4
7490.5	sim	105	24.5
8437.35	sim	104	24.6
13321.14	sim	101	24.7
2397.92	sim	103	24.7
8637.4	sim	103	24.8
1393.12	não	103	24.8
1413.12	não	103	24.9
3382.64	sim	103	25
1005.42	sim	103	25.1
1018.42	sim	103	25.2
22400	sim	103	25.2
24495.15	sim	105	25.3
17734.58	sim	105	25.4
19839.78	sim	104	25.5
10061.21	sim	104	25.6
11056.34	sim	105	25.7
6647.15	sim	104	25.7
7448.5	sim	103	25.8
5736.17	não	105	25.9
7690.95	não	104	26
5000	sim	104	26.1
10315.4	sim	104	26.1
2484.25	sim	103	26.2
15060.15	sim	100	26.3
31903.5	não	104	26.3
9061.5	sim	105	26.4
17000	sim	105	26.5
2830.97	não	105	26.6
2672.25	sim	104	26.6
21200	sim	105	26.7
2000	não	103	26.8
1542	não	103	26.9
2242.32	sim	105	27
9326.95	sim	103	27
11878.95	sim	103	27.1
29800	não	103	27.2
13184.65	sim	105	27.3
4020.18	sim	103	27.4
2500	sim	105	27.5
5903.83	não	105	27.5
5500	sim	104	27.6
29279	sim	104	27.7
23535.88	sim	104	27.8
11000	não	104	27.9
3211	sim	104	28
12853.15	sim	103	28
15654.21	sim	105	28.1
7303.6	sim	104	28.2
10500	não	104	28.3
1885.5	não	105	28.4
135.21	não	105	28.4
31.49	não	105	28.5
34465.4	sim	104	28.6
1259.12	não	105	28.7
1263.62	não	105	28.8
955.12	não	105	28.9
9500	não	104	28.9
22175	sim	104	29
15725	não	104	29.1
2000	sim	104	29.2
2000	não	104	29.3
22575.5	sim	104	29.3
19500	sim	104	29.4
11850.5	sim	104	29.5
12140	sim	104	29.6
4358	sim	103	29.7
3000	sim	103	29.8
6810	sim	104	29.8
5000	sim	104	29.9
10550	não	103	30
18000	não	103	30.1
4269	sim	103	30.2
11157.37	não	104	30.2
10356.32	sim	103	30.3
1000	não	104	30.4
18358	sim	103	30.5
4410.06	sim	103	30.6
7141.02	sim	104	30.7
30732.68	sim	104	30.7
1172.1	não	104	30.8
3666	sim	104	30.9
3666	sim	104	31
9520.14	sim	103	31.1
13386.93	sim	103	31.1
11245.32	sim	103	31.2
7500	sim	103	31.3
116586.72	sim	103	31.4
1838	sim	103	31.5
3079.47	não	103	31.6
9163.74	sim	103	31.6
22800	sim	103	31.7
7953.5	não	103	31.8
10947	não	103	31.9
