semana	tipo	fnpc
2	B	57.29
2	B	70.88
2	B	48.82
2	B	43.19
2	B	47.12
2	B	33.64
2	B	63.22
2	B	68.36
2	B	57.87
2	B	74.95
2	B	41.92
2	B	53.84
2	B	47.12
2	B	47.81
2	B	48.82
4	B	39.31
4	B	40.53
4	B	48.39
4	B	36.11
4	B	42.6
4	B	47.54
4	B	45.12
4	B	38.44
4	B	40.53
4	B	39.22
4	B	47.19
4	B	41.45
4	B	43.76
4	B	37.77
4	B	44.82
6	B	60.79
6	B	52.91
6	B	49.65
6	B	52.49
6	B	77.35
6	B	48
6	B	38.42
6	B	43.35
6	B	35.95
6	B	38.7
6	B	30.89
6	B	45.62
6	B	57.53
6	B	32.15
6	B	37.09
8	B	60.66
8	B	69.58
8	B	39.56
8	B	40.97
8	B	74.6
8	B	44.83
8	B	55.14
8	B	69.12
8	B	51.52
8	B	78.18
8	B	36.56
8	B	58.8
8	B	59.36
8	B	64.61
8	B	42.19
10	B	47.96
10	B	73.4
10	B	63.1
10	B	50.62
10	B	34.68
10	B	47.81
10	B	66.91
10	B	61.02
10	B	51.55
10	B	44.5
10	B	53.17
10	B	60.93
10	B	52.16
10	B	46.37
10	B	47.13
12	B	50.53
12	B	44.42
12	B	53.4
12	B	47.93
12	B	46.72
12	B	38.07
12	B	76.28
12	B	58.09
12	B	52.4
12	B	45.73
12	B	59.81
12	B	59.03
12	B	61.23
12	B	76.42
12	B	55.78
14	B	78.34
14	B	63.86
14	B	74.77
14	B	87.08
14	B	58.1
14	B	68.26
14	B	69.83
14	B	67
14	B	75.3
14	B	69.97
14	B	80.52
14	B	49.51
14	B	78.57
14	B	63.51
14	B	56.38
16	B	55.7
16	B	70.32
16	B	71.98
16	B	66.91
16	B	74.47
16	B	55.79
16	B	64.64
16	B	57.23
16	B	62.02
16	B	56.35
16	B	67.18
16	B	80.43
16	B	57.11
16	B	55.85
16	B	85.32
18	B	59.14
18	B	45.29
18	B	52.66
18	B	54.29
18	B	55.72
18	B	66.56
18	B	64.53
18	B	61.36
18	B	60.22
18	B	54.32
18	B	54.31
18	B	77.72
18	B	42.8
18	B	85.6
18	B	84.93
20	B	61.98
20	B	57.67
20	B	57.63
20	B	49.23
20	B	68.94
20	B	30.29
20	B	47.74
20	B	49.94
20	B	54.27
20	B	47.98
20	B	40.68
20	B	34.26
20	B	41.76
20	B	41.95
20	B	56.71
2	A	70.84
2	A	70.8
2	A	55.55
2	A	55.35
2	A	49.93
2	A	58.38
2	A	60.91
2	A	86.32
2	A	84.54
2	A	66.16
2	A	52.36
2	A	55.04
2	A	58.65
2	A	67.58
2	A	49.74
4	A	68.55
4	A	33.9
4	A	57.23
4	A	41.81
4	A	38.21
4	A	62.05
4	A	80.99
4	A	52.55
4	A	61.16
4	A	57.26
4	A	45.73
4	A	34.76
4	A	82.19
4	A	41.6
4	A	66.34
6	A	91.92
6	A	61.46
6	A	53.84
6	A	39.36
6	A	93.59
6	A	82.79
6	A	71.07
6	A	35.27
6	A	37.01
6	A	101.15
6	A	67.82
6	A	66
6	A	76.75
6	A	47.73
6	A	41.82
8	A	64.54
8	A	104.7
8	A	61.36
8	A	63.73
8	A	79.81
8	A	79.67
8	A	65.19
8	A	43.75
8	A	42.78
8	A	49.81
8	A	60.48
8	A	38.05
8	A	54.54
8	A	79.08
8	A	60.89
10	A	78.26
10	A	66.39
10	A	65.36
10	A	59.24
10	A	98.27
10	A	88.94
10	A	80.02
10	A	65.92
10	A	66.39
10	A	104.24
10	A	60.45
10	A	74.43
10	A	82.3
10	A	65.37
10	A	43.53
12	A	85.84
12	A	90.43
12	A	90.87
12	A	63.44
12	A	35.72
12	A	63.5
12	A	81.61
12	A	58.46
12	A	30.91
12	A	63.98
12	A	79.86
12	A	65.18
12	A	56.6
12	A	99.9
12	A	75.56
14	A	87.74
14	A	29.02
14	A	76.41
14	A	118.83
14	A	93.48
14	A	76.42
14	A	69.2
14	A	74.71
14	A	36.82
14	A	65.75
14	A	86.49
14	A	37.34
14	A	99.04
14	A	89.88
14	A	76.05
16	A	90.02
16	A	110.08
16	A	76.86
16	A	74.31
16	A	106.56
16	A	94.8
16	A	83.9
16	A	71.29
16	A	63.77
16	A	61.08
16	A	81.66
16	A	50.85
16	A	88.05
16	A	90.52
16	A	94.05
18	A	59.58
18	A	76.73
18	A	55.81
18	A	51.86
18	A	75.39
18	A	74.99
18	A	71.56
18	A	64.02
18	A	60.51
18	A	62.7
18	A	56.77
18	A	43.62
18	A	51.53
18	A	52.6
18	A	59.91
20	A	74.52
20	A	63.01
20	A	57.75
20	A	55.46
20	A	42.92
20	A	72.78
20	A	30.09
20	A	71.51
20	A	64.55
20	A	41.66
20	A	36.46
20	A	55.1
20	A	33.7
20	A	72.2
20	A	62.48
2	C	31.46
2	C	43.27
2	C	62.13
2	C	43.48
2	C	68.77
2	C	40.29
2	C	45.72
2	C	49.6
2	C	65.46
2	C	45.99
2	C	80.54
2	C	70.57
2	C	63.15
2	C	44.5
2	C	46.94
4	C	38.08
4	C	35.6
4	C	33.58
4	C	35.69
4	C	37.37
4	C	36.89
4	C	32.73
4	C	40.63
4	C	44.78
4	C	51.78
4	C	47.97
4	C	38.89
4	C	45.62
4	C	36.89
4	C	35.6
6	C	62.71
6	C	61.58
6	C	44.79
6	C	55.55
6	C	94.51
6	C	70.06
6	C	41.39
6	C	70.81
6	C	58.46
6	C	62.45
6	C	43.91
6	C	38.15
6	C	43.44
6	C	46.26
6	C	58
8	C	78.51
8	C	74.02
8	C	30.06
8	C	78.32
8	C	81.1
8	C	68.83
8	C	84.67
8	C	74.43
8	C	67.67
8	C	64.82
8	C	60.92
8	C	74.02
8	C	61.59
8	C	69.54
8	C	97.75
10	C	63.27
10	C	56.89
10	C	52.23
10	C	93
10	C	70.3
10	C	51.38
10	C	82.6
10	C	59.9
10	C	51.03
10	C	68.85
10	C	60.55
10	C	47.51
10	C	50.56
10	C	73.82
10	C	102.6
12	C	47.95
12	C	47.26
12	C	73.96
12	C	44.24
12	C	53.04
12	C	56.48
12	C	56.95
12	C	52.33
12	C	49.19
12	C	43.78
12	C	37.84
12	C	42.51
12	C	54.07
12	C	45.78
12	C	49.6
14	C	107.67
14	C	52.32
14	C	76.52
14	C	116.77
14	C	90.47
14	C	34.01
14	C	51
14	C	73.73
14	C	92.07
14	C	73.86
14	C	109.35
14	C	107.58
14	C	56.56
14	C	99.76
14	C	132.62
16	C	60.43
16	C	71.53
16	C	98
16	C	59.49
16	C	88.19
16	C	82.03
16	C	55.72
16	C	50.16
16	C	120.2
16	C	69.79
16	C	65.07
16	C	69.35
16	C	58.23
16	C	61.9
16	C	60.16
18	C	59.87
18	C	59.52
18	C	77.36
18	C	73.92
18	C	65.76
18	C	67.3
18	C	67.31
18	C	74.61
18	C	52.89
18	C	65.62
18	C	56.7
18	C	83.49
18	C	87.84
18	C	52.94
18	C	62.22
20	C	44.32
20	C	83.81
20	C	67.06
20	C	78.73
20	C	35.84
20	C	63.34
20	C	52.37
20	C	67.19
20	C	66.95
20	C	41.41
20	C	49.05
20	C	49.65
20	C	39.38
20	C	52.37
20	C	49.73
2	D	36.81
2	D	52.1
2	D	41.19
2	D	44.36
2	D	40.91
2	D	42.93
2	D	30.96
2	D	51.26
2	D	40.93
2	D	41.67
2	D	54.87
2	D	55.23
2	D	40.45
2	D	52.65
2	D	61.69
4	D	36.53
4	D	41.17
4	D	42.19
4	D	43.41
4	D	56.47
4	D	40.68
4	D	33.9
4	D	41.34
4	D	48.99
4	D	37.58
4	D	38.85
4	D	49.83
4	D	46.28
4	D	41.74
4	D	40.71
6	D	44.7
6	D	44.36
6	D	41.8
6	D	45.1
6	D	46.37
6	D	35.11
6	D	42.6
6	D	39.51
6	D	29.48
6	D	42.1
6	D	41.01
6	D	40.49
6	D	36
6	D	50.15
6	D	32.54
8	D	47.33
8	D	34.36
8	D	42.92
8	D	39.19
8	D	45.57
8	D	33.6
8	D	52
8	D	40.76
8	D	49.33
8	D	46.02
8	D	55.18
8	D	53.84
8	D	36.6
8	D	43.7
8	D	34.83
10	D	56.1
10	D	58.95
10	D	57.21
10	D	61.58
10	D	51.05
10	D	52.95
10	D	54.15
10	D	47.11
10	D	60.94
10	D	70.02
10	D	44.65
10	D	65.01
10	D	50.94
10	D	53.33
10	D	46.5
12	D	70.59
12	D	54.07
12	D	53.96
12	D	64.58
12	D	65.19
12	D	61.84
12	D	53.67
12	D	53.76
12	D	57.4
12	D	54.03
12	D	41.08
12	D	56.39
12	D	59.62
12	D	64.69
12	D	53.51
14	D	69.96
14	D	56.5
14	D	62.38
14	D	59.34
14	D	64.92
14	D	78.73
14	D	78.16
14	D	62.28
14	D	48.38
14	D	83.2
14	D	68.23
14	D	65.27
14	D	95.95
14	D	72.55
14	D	57.97
16	D	44.72
16	D	60.46
16	D	52.96
16	D	47.39
16	D	47.9
16	D	41.42
16	D	52.11
16	D	64.74
16	D	49.93
16	D	60.82
16	D	50.89
16	D	40.31
16	D	53.74
16	D	60.56
16	D	55.06
18	D	51.98
18	D	55.52
18	D	51.45
18	D	44.53
18	D	53.28
18	D	54.64
18	D	47.82
18	D	52.17
18	D	53.19
18	D	56.67
18	D	68.63
18	D	48.87
18	D	59.02
18	D	73.98
18	D	59.05
20	D	64.97
20	D	45.02
20	D	53.7
20	D	42.06
20	D	47.07
20	D	38.02
20	D	48.96
20	D	56.25
20	D	47.58
20	D	51.58
20	D	48.95
20	D	45.58
20	D	52.96
20	D	36.51
20	D	48.11
2	E	26.69
2	E	47.84
2	E	41.37
2	E	37.8
2	E	39.03
2	E	51.81
2	E	40.22
2	E	35.31
2	E	38.3
2	E	34.81
2	E	35.86
2	E	38.27
2	E	39.26
2	E	34.24
2	E	43.66
4	E	33.35
4	E	41.55
4	E	47.13
4	E	39.34
4	E	42.81
4	E	43.57
4	E	39.96
4	E	42.01
4	E	48.4
4	E	43.84
4	E	40.65
4	E	54.05
4	E	47.55
4	E	52.22
4	E	44.1
6	E	45.1
6	E	39.21
6	E	35.94
6	E	47.17
6	E	42.86
6	E	42.01
6	E	45.32
6	E	39.15
6	E	46.06
6	E	34.47
6	E	46.52
6	E	40.93
6	E	35.94
6	E	41.66
6	E	42.01
8	E	40.84
8	E	54.35
8	E	41.56
8	E	42.53
8	E	38.34
8	E	39.04
8	E	45.85
8	E	43.05
8	E	46.9
8	E	38.58
8	E	41.04
8	E	40.14
8	E	43.91
8	E	49.63
8	E	46.1
10	E	61.46
10	E	49.02
10	E	66.17
10	E	45.43
10	E	32.89
10	E	48.14
10	E	60.79
10	E	53.59
10	E	55.3
10	E	62.88
10	E	78.26
10	E	46.29
10	E	50.39
10	E	45.75
10	E	39.51
12	E	54.24
12	E	52.06
12	E	37.53
12	E	36.75
12	E	61.82
12	E	78.82
12	E	45.06
12	E	51.68
12	E	63.31
12	E	48.61
12	E	63.21
12	E	56.99
12	E	63.39
12	E	68.75
12	E	68.35
14	E	69.8
14	E	33.46
14	E	55.71
14	E	74.11
14	E	62.52
14	E	54.45
14	E	73.76
14	E	61.42
14	E	85.63
14	E	51.94
14	E	61.41
14	E	68.23
14	E	48.56
14	E	58.95
14	E	51.64
16	E	50.17
16	E	47.31
16	E	44.98
16	E	53.81
16	E	48.28
16	E	53.82
16	E	66.73
16	E	48.18
16	E	80.74
16	E	50.06
16	E	55.17
16	E	54.82
16	E	61.77
16	E	50.2
16	E	49.98
18	E	51.31
18	E	55.12
18	E	58.72
18	E	67.54
18	E	59.44
18	E	60
18	E	49.1
18	E	54.06
18	E	55.12
18	E	59.53
18	E	61.01
18	E	51.6
18	E	66.45
18	E	55.04
18	E	48.83
20	E	51.88
20	E	73.51
20	E	46.19
20	E	47.64
20	E	47.79
20	E	55.52
20	E	47.96
20	E	37.81
20	E	91.17
20	E	42.27
20	E	60.13
20	E	43.95
20	E	53.51
20	E	41.92
20	E	49.15
