esp2	esp3	esp6	esp14	placa	posic	reg	temp
16	3	6	1	6	lateral	São Roque	30
1	0	8	1	1	central	São Roque	30
53	0	16	0	6	lateral	São Roque	26
7	0	6	0	1	central	São Roque	26
7	1	4	11	6	lateral	São Roque	26
1	0	1	0	1	central	São Roque	26
89	2	4	2	6	lateral	São Roque	27
16	0	2	0	1	central	São Roque	27
101	5	0	1	6	lateral	São Roque	26.5
2	3	0	0	1	central	São Roque	26.5
47	1	0	4	6	lateral	São Roque	26.5
21	1	0	0	1	central	São Roque	26.5
13	6	0	5	6	lateral	São Roque	22
2	1	0	1	1	central	São Roque	22
67	6	0	23	6	lateral	São Roque	22
4	1	0	4	1	central	São Roque	22
0	0	0	0	6	lateral	São Roque	14
0	0	0	0	1	central	São Roque	14
0	0	0	0	6	lateral	São Roque	14
0	0	0	0	1	central	São Roque	14
0	0	0	3	6	lateral	São Roque	18.5
0	0	0	0	1	central	São Roque	18.5
0	0	0	0	6	lateral	São Roque	18.5
0	0	0	0	1	central	São Roque	18.5
27	0	0	6	6	lateral	Pindamonhangaba	31
11	0	0	2	1	central	Pindamonhangaba	31
5	0	21	1	6	lateral	Pindamonhangaba	24
2	0	5	0	1	central	Pindamonhangaba	24
16	4	2	16	6	lateral	Pindamonhangaba	24
0	0	1	0	1	central	Pindamonhangaba	24
15	1	0	36	6	lateral	Pindamonhangaba	30
2	3	0	6	1	central	Pindamonhangaba	30
13	9	0	15	6	lateral	Pindamonhangaba	30
1	1	0	1	1	central	Pindamonhangaba	30
14	0	3	10	6	lateral	Pindamonhangaba	22
2	0	0	0	1	central	Pindamonhangaba	22
7	0	3	4	6	lateral	Pindamonhangaba	22
0	0	0	2	1	central	Pindamonhangaba	22
3	20	1	48	6	lateral	Pindamonhangaba	16
7	1	0	18	1	central	Pindamonhangaba	16
9	0	0	1	6	lateral	Pindamonhangaba	16
0	0	0	0	1	central	Pindamonhangaba	16
17	22	1	60	6	lateral	Pindamonhangaba	18
10	0	0	4	1	central	Pindamonhangaba	18
33	7	0	23	6	lateral	Pindamonhangaba	18
1	5	0	0	1	central	Pindamonhangaba	18
7	21	4	82	6	lateral	Pindamonhangaba	25.5
0	1	1	7	1	central	Pindamonhangaba	25.5
10	11	1	3	6	lateral	Pindamonhangaba	25.5
0	3	0	0	1	central	Pindamonhangaba	25.5
16	0	0	3	6	lateral	Nova Odessa	31
2	0	0	0	1	central	Nova Odessa	31
6	0	0	9	6	lateral	Nova Odessa	34
0	0	0	1	1	central	Nova Odessa	34
13	3	2	177	6	lateral	Nova Odessa	34
1	1	0	0	1	central	Nova Odessa	34
37	14	0	110	6	lateral	Nova Odessa	31
15	1	0	0	1	central	Nova Odessa	31
39	5	6	230	6	lateral	Nova Odessa	31
67	0	0	11	1	central	Nova Odessa	31
100	4	11	11	6	lateral	Nova Odessa	27
4	0	0	3	1	central	Nova Odessa	27
58	8	2	12	6	lateral	Nova Odessa	27
20	0	0	0	1	central	Nova Odessa	27
19	1	0	8	6	lateral	Nova Odessa	29
4	0	0	0	1	central	Nova Odessa	29
1	0	2	2	6	lateral	Nova Odessa	25
0	0	0	0	1	central	Nova Odessa	25
8	0	0	3	6	lateral	Nova Odessa	25
0	0	0	0	1	central	Nova Odessa	25
1	3	0	7	6	lateral	Nova Odessa	28
1	2	1	4	1	central	Nova Odessa	28
5	4	0	13	6	lateral	Nova Odessa	28
0	0	1	1	1	central	Nova Odessa	28
32	12	0	0	6	lateral	Ribeirão Preto	36
5	0	1	0	1	central	Ribeirão Preto	36
95	0	0	1	6	lateral	Ribeirão Preto	36
2	0	0	0	1	central	Ribeirão Preto	36
3	0	0	0	6	lateral	Ribeirão Preto	37
0	0	0	0	1	central	Ribeirão Preto	37
5	0	0	7	6	lateral	Ribeirão Preto	37
0	0	0	0	1	central	Ribeirão Preto	37
28	0	3	0	6	lateral	Ribeirão Preto	23
11	0	1	0	1	central	Ribeirão Preto	23
33	0	0	1	6	lateral	Ribeirão Preto	23
0	0	0	0	1	central	Ribeirão Preto	23
1	0	0	0	6	lateral	Ribeirão Preto	24
0	0	0	0	1	central	Ribeirão Preto	24
2	0	0	2	6	lateral	Ribeirão Preto	24
0	0	0	0	1	central	Ribeirão Preto	24
14	0	0	0	6	lateral	Ribeirão Preto	34
0	0	0	0	1	central	Ribeirão Preto	34
9	0	0	3	6	lateral	Ribeirão Preto	34
1	0	0	0	1	central	Ribeirão Preto	34
14	3	0	1	6	lateral	Ribeirão Preto	19
0	0	0	0	1	central	Ribeirão Preto	19
2	0	3	3	6	lateral	Ribeirão Preto	19
3	1	0	7	1	central	Ribeirão Preto	19
0	0	0	0	6	lateral	Ribeirão Preto	29
0	0	0	0	1	central	Ribeirão Preto	29
0	0	0	0	6	lateral	Ribeirão Preto	29
0	0	0	0	1	central	Ribeirão Preto	29
