impos	areat	areac	idade	preco
4.9176	3.472	0.998	42	25.9
5.0208	3.531	1.5	62	29.5
4.5429	2.275	1.175	40	27.9
4.5573	4.05	1.232	54	25.9
5.0597	4.455	1.121	42	29.9
3.891	4.455	0.988	56	29.9
5.898	5.85	1.24	51	30.9
5.6039	9.52	1.501	32	28.9
15.4202	9.8	3.42	42	84.9
14.4598	12.8	3	14	82.9
5.8282	6.435	1.225	32	35.9
5.3003	4.9883	1.552	30	31.5
6.2712	5.52	0.975	30	31
5.9592	6.666	1.121	32	30.9
5.05	5	1.02	46	30
8.2464	5.15	1.664	50	36.9
6.6969	6.902	1.488	22	41.9
7.7841	7.102	1.376	17	40.5
9.0384	7.8	1.5	23	43.9
5.9894	5.52	1.256	40	37.5
7.5422	4	1.69	22	37.9
8.7951	9.89	1.82	50	44.5
6.0931	6.7265	1.652	44	37.9
8.3607	9.15	1.777	48	38.9
8.14	8	1.504	3	36.9
9.1416	7.3262	1.831	31	45.8
12	5	1.2	30	41
