tbill	sp500	micro	ge	ford
0.006719368	0.9180112067	3.26249626	-0.83312295	3.15518352
0.006679842	0.6213152317	-0.46376812	0.8401222	1.24843945
0.006640316	-0.6498878474	-0.4950495	-3.88790709	-2.58939581
0.006561265	-0.3588321644	1.19988294	-1.05069609	0.37974684
0.006521739	-0.4798786949	-0.9832273	-1.03530661	-1.51324086
0.006521739	0.1220631265	0.84696262	0.16094421	-6.27400768
0.006521739	-0.9467813756	-0.98465103	-0.96411355	1.36612022
0.006284585	-0.6276187151	-0.17548991	-0.86533261	-0.94339623
0.006086957	0.6834093165	1.55288602	2.12765957	-2.04081633
0.006166008	-1.6245125154	-2.39469129	-2.56410256	-0.48611111
0.006205534	1.0030419397	2.92639669	2.74122807	-1.74459177
0.006324111	-0.992202866	-5.39919586	-0.18676628	-1.34943182
0.006245059	-0.7334291137	-2.45901639	-0.98904036	-0.50395968
0.006482213	0.7924524931	-1.12044818	-1.70086393	0.723589
0.006600791	0.3518942013	1.35347812	-0.24718484	-0.57471264
0.006600791	0.0998100958	-1.24223602	1.8722467	1.08381503
0.006640316	-0.0194126782	0.03144654	-0.27027027	3.7884203
0.006679842	-2.8612783083	-2.35774914	-4.44444444	-0.8953168
0.006719368	1.1747710423	0.8370895	1.1627907	-0.34746352
0.006679842	1.4933951166	1.37292465	0.72890384	2.85913529
0.006798419	-0.7078393205	-1.63779528	-0.80712497	-2.57627119
0.006758893	-2.4737123507	-2.46557797	-5.02244669	-1.80932498
0.006798419	-0.4038595081	0.06565988	3.45642541	-4.03968816
0.006798419	-0.5972367479	-1.24671916	2.08452313	0.44313146
0.006719368	-0.3082574226	-0.99667774	0.64335664	3.01470588
0.006679842	1.485877223	1.44295302	0.13896609	-0.99928622
0.006600791	1.4340187189	0.79391333	1.47099639	-0.57678443
0.006719368	-0.3993021206	-1.64095832	-0.79321663	0.29006526
0.006758893	0.9941309255	2.8028028	1.59911773	4.48300795
0.006758893	-0.1814914484	-0.22719896	-0.27137042	-1.93771626
0.006758893	-1.1016766982	-2.34222511	-2.34013605	-0.49400141
0.006719368	-1.8873734355	-2.16522318	-1.89467818	-2.34042553
0.006719368	1.3513762992	1.63432074	3.20931554	1.52505447
0.006798419	-1.5510300734	-3.08207705	-0.13758943	1.21602289
0.006798419	0.822424719	-0.10369858	1.51556903	-0.6360424
0.006798419	1.7975115613	1.90311419	2.90445168	4.48079659
0.006837945	-0.0045068188	-0.91680815	-1.13426537	2.04220558
0.006837945	0.0459716238	-0.27416038	0.45357524	-1.60106738
0.006837945	-0.2847128995	-0.06872852	-0.6374502	-2.71186441
0.006798419	2.2634246835	5.19257221	2.4592355	5.08710801
0.006916996	1.9491420594	3.13828048	1.90451344	3.38196286
0.006916996	-0.6673368925	-0.34865293	0.74244752	-2.62989096
0.006916996	1.4509571257	0.85877863	2.59212198	3.88669302
0.00687747	-0.4497880062	-1.41911069	-1.43671043	3.42422321
0.006916996	0.5848609983	1.95137556	-0.85448605	-0.61312078
0.006996047	0.3392567272	0.62754942	1.36882129	2.28254164
0.007075099	-0.2294009895	-2.80636109	-0.12503126	-1.08564536
0.007114625	-0.9857753222	-0.70580687	-2.67901853	0.6097561
0.007075099	-0.0909807727	-1.42164782	1.02907126	-1.15151515
0.00715415	1.1378616527	2.06489676	-0.56022409	0.06131208
0.007193676	-0.0523084311	-0.54592164	-0.71702945	0.85784314
0.007193676	0.4066749603	0.16144656	0	0.66828676
0.007114625	-1.5756778234	-3.44938749	-2.75986588	-3.98310199
0.00715415	0.1510613361	2.10350584	-3.47480106	1.19421747
0.00715415	-0.4238941045	-1.47155003	1.12668315	-0.1863354
0.007114625	-1.4651344999	-2.02456024	-2.20108696	-3.67143746
0.007035573	0.5848728211	-0.23712737	0.7224229	0.19379845
0.007075099	0.5349190595	0.57724958	0.3862069	0.06447453
0.007035573	0.2455049014	1.48548278	-0.13740038	2.44845361
0.00687747	-0.0740811755	0.0998004	-0.27517887	-4.59119497
0.006956522	-0.8530012036	-5.1179794	-0.52428256	-2.30718523
0.006956522	-0.9993314332	-1.68126095	-0.94313454	-2.0242915
0.006916996	0.0835258575	0.21375134	1.4841781	0.55096419
0.00687747	-0.3205071293	-0.9953786	-0.52428256	-0.61643836
0.006798419	0.2280156404	2.40574506	-0.63800277	0.41350793
0.006758893	-0.6656061993	-4.10238429	-1.11669458	-0.54907344
0.006679842	1.1334764716	2.59597806	2.0609825	3.79572119
0.006600791	-2.3689261988	-2.67284391	-9.29460581	-4.45478723
0.006600791	0.6632297112	2.08714756	-0.57944495	2.92275574
0.006600791	-0.7614692937	-0.43041607	-5.06134969	-1.82555781
0.006600791	2.3418439073	3.78242075	3.9095315	5.3030303
0.006719368	-0.2038338488	-2.04790003	1.67910448	2.02746893
0.006679842	-0.1420870816	-0.46066619	0.42813456	-1.92307692
0.006600791	0.0622515496	1.49519402	-0.27405603	3.07189542
0.006719368	-1.5411004559	-2.80603297	-2.50381679	-1.83893469
0.006640316	-0.6201312476	-2.88704439	-0.18791106	2.45478036
0.006719368	-0.7102892022	-1.82088443	-0.90994666	-1.38713745
0.006640316	-0.1518561209	1.36260409	-1.39328689	0.63938619
0.006719368	-1.3889397882	-4.14488424	-1.70199101	-0.1270648
0.006719368	-1.0099226996	1.44137125	-2.05815093	-2.73536896
0.006798419	1.0765404289	0.03840246	2.26817879	0.91563113
0.006837945	0.8858596739	0.92130518	0.456621	2.72197019
0.006798419	-0.1748798851	-2.92887029	-0.29220779	-1.4511041
0.006837945	-1.0262226156	-3.21316614	0.29306415	-0.06402049
0.006798419	-1.9339873117	-1.90283401	-2.30519481	-0.96092249
0.006837945	-0.3020889738	1.77465951	-1.03024261	-1.81112549
