consu	deman
679	0.79
582	2.7
1097	5.34
747	3.25
354	0.17
540	0.56
710	4
1381	3.48
370	0.59
770	1.74
783	3.29
1746	5.71
1787	8.33
292	0.44
1156	3.64
2078	6.85
2030	4.43
1276	1.88
874	1.56
1434	0.31
1428	7.58
2316	8.19
724	4.1
406	0.44
468	0.64
3560	14.94
1012	0.56
997	4.73
1818	5.84
1643	3.16
745	0.77
1543	5.28
837	4.2
1255	2.63
1130	4.79
808	3.94
1242	3.24
1114	1.9
1495	5.11
493	0.79
2189	9.5
1700	5.21
414	0.5
435	1.39
1029	0.64
1748	4.88
1777	4.99
463	0.51
790	0.96
658	2.14
413	0.51
2221	3.85
1526	3.93
