valorv	expos	tipov	idadev	sexoc	areac	idadec	nsinis	csinis
1.66	0.4845995893	SEDAN	3	M	B	6	1	669.50999928
1.51	0.9938398357	SEDAN	3	F	F	4	1	806.6099987
0.76	0.5393566051	HBACK	3	M	C	4	1	401.80545139
1.89	0.6543463381	STNWG	3	M	F	2	2	1811.7099972
4.06	0.8514715948	STNWG	2	M	F	3	1	5434.4399872
1.39	0.3175906913	HBACK	3	F	A	4	1	865.78999901
2.66	0.3175906913	STNWG	1	F	F	5	1	1105.7699986
0.5	0.0711841205	HBACK	4	F	A	5	1	200
1.16	0.5968514716	STNWG	4	F	B	2	2	739.22999954
3.56	0.9062286105	MCARA	3	M	F	4	1	3230.5999985
2.15	0.6543463381	SEDAN	3	F	A	5	1	200
3.03	0.9034907598	TRUCK	1	M	C	1	1	200
2.41	0.3394934976	STNWG	3	M	E	1	1	407.83999968
1.72	0.6160164271	STNWG	2	F	A	6	1	1619.829998
1.92	0.6160164271	STNWG	4	M	A	5	1	1010.9199982
2.649	0.257357974	TRUCK	1	M	A	1	1	9424.3499756
1.86	0.6160164271	SEDAN	2	F	C	3	1	238.64000034
1.54	0.6160164271	STNWG	2	F	B	3	1	200
1.88	0.7501711157	PANVN	3	M	D	3	1	369.17999983
0.89	0.6844626968	SEDAN	3	F	D	3	1	353.76999998
4.46	0.1916495551	COUPE	2	M	B	2	1	989.91999817
4.32	0.6461327858	STNWG	2	M	A	5	1	736.84999847
5.59	0.8514715948	STNWG	1	M	C	3	1	369.14999962
1.44	0.6652977413	UTE	4	M	F	2	1	500
2.81	0.8514715948	STNWG	1	M	C	3	1	353.76999998
3	0.6132785763	STNWG	3	F	C	2	1	6372.0299988
2.29	0.3531827515	STNWG	4	F	F	4	1	500
0.39	0.925393566	SEDAN	4	F	C	6	1	1379.0399971
1.29	0.925393566	SEDAN	3	M	D	3	1	200
1.13	0.3778234086	SEDAN	4	F	B	1	1	937.55999565
0	0.9993155373	STNWG	4	M	A	3	2	2724.3399963
2.41	0.7501711157	HBACK	1	F	B	3	1	12879.659973
3.47	0.2464065708	SEDAN	1	M	B	3	1	937.27999878
3.14	0.8514715948	TRUCK	3	M	C	1	2	19142.132675
1.98	0.9117043121	STNWG	4	M	C	6	1	2659.3699951
3.3	0.9062286105	STNWG	2	M	A	5	1	2349.3499985
0.62	0.9089664613	STNWG	4	M	C	6	1	367.72999954
2.64	0.5256673511	UTE	2	F	C	1	1	462.69999886
7.199	0.9993155373	STNWG	1	F	C	1	1	782.3599987
1.65	0.0876112252	STNWG	4	M	C	5	1	353.76999998
0.51	0.9117043121	HBACK	4	F	B	6	1	2494.5999985
1.749	0.4134154689	HBACK	1	F	A	2	1	13589.789948
2.39	0.9089664613	HDTOP	2	M	C	4	1	2981.8099976
3.59	0.8843258042	SEDAN	4	F	A	4	1	231.96000004
1.11	0.9062286105	HBACK	3	F	A	6	1	200
1.14	0.9117043121	SEDAN	3	F	C	4	2	1043.6999989
1.64	0.9089664613	HBACK	2	F	C	4	1	1114.1899986
2.35	0.9034907598	SEDAN	2	M	C	2	1	200
1.29	0.9089664613	SEDAN	3	F	E	6	1	1753.8899994
1.65	0.6954140999	STNWG	4	M	F	1	1	11469.089996
1.99	0.9034907598	STNWG	2	M	B	3	1	200.00001109
1.04	0.7173169062	HBACK	2	F	C	4	1	200
1.63	0.6406570842	SEDAN	2	F	A	3	2	1255.5399971
3.76	0.848733744	UTE	1	F	C	2	1	623.44999981
1.82	0.7665982204	HBACK	2	F	B	3	1	361.98999977
0.89	0.7529089665	HBACK	3	F	B	4	1	931.32999992
