tempo	volt	temp
439	200kV	170ºC
572	250kV	170ºC
315	300kV	170ºC
258	350kV	170ºC
904	200kV	170ºC
690	250kV	170ºC
315	300kV	170ºC
258	350kV	170ºC
1092	200kV	170ºC
904	250kV	170ºC
439	300kV	170ºC
347	350kV	170ºC
1105	200kV	170ºC
1090	250kV	170ºC
628	300kV	170ºC
588	350kV	170ºC
959	200kV	180ºC
216	250kV	180ºC
241	300kV	180ºC
241	350kV	180ºC
1065	200kV	180ºC
315	250kV	180ºC
315	300kV	180ºC
241	350kV	180ºC
1065	200kV	180ºC
455	250kV	180ºC
332	300kV	180ºC
435	350kV	180ºC
1087	200kV	180ºC
473	250kV	180ºC
380	300kV	180ºC
455	350kV	180ºC
