grahani	opalinus	periodo	comp	larg	local
20	22	manhã	curta	estreita	claro
8	9	meio-dia	curta	estreita	claro
4	8	tarde	curta	estreita	claro
13	13	manhã	comprida	estreita	claro
8	8	meio-dia	comprida	estreita	claro
12	12	tarde	comprida	estreita	claro
8	11	manhã	curta	larga	claro
4	5	meio-dia	curta	larga	claro
5	8	tarde	curta	larga	claro
6	6	manhã	comprida	larga	claro
1	2	tarde	comprida	larga	claro
34	45	manhã	curta	estreita	escuro
69	89	meio-dia	curta	estreita	escuro
18	28	tarde	curta	estreita	escuro
31	36	manhã	comprida	estreita	escuro
55	59	meio-dia	comprida	estreita	escuro
13	16	tarde	comprida	estreita	escuro
17	32	manhã	curta	larga	escuro
60	92	meio-dia	curta	larga	escuro
8	16	tarde	curta	larga	escuro
12	13	manhã	comprida	larga	escuro
21	26	meio-dia	comprida	larga	escuro
4	8	tarde	comprida	larga	escuro
