cop	coa	nFilho	nClaro
1	1	6	6
1	1	6	5
1	1	7	7
1	1	8	8
1	1	8	8
1	1	12	12
1	4	12	12
1	5	9	9
1	5	10	10
1	13	6	6
2	11	8	5
3	8	6	1
3	15	7	4
4	4	8	6
4	5	9	6
4	10	9	9
4	11	6	4
4	13	6	6
4	15	8	5
5	5	7	3
5	5	8	4
5	11	6	5
5	11	10	2
5	14	7	3
5	8	8	3
6	13	9	4
1	1	6	6
1	1	7	7
1	1	7	7
1	1	8	8
1	1	8	7
1	4	7	7
1	5	7	6
1	5	9	9
1	10	7	7
1	13	10	10
3	5	6	2
3	8	11	3
4	4	6	6
4	4	9	7
4	5	11	7
4	10	11	1
4	11	8	5
4	13	10	9
5	1	7	3
5	5	8	6
5	5	9	6
5	11	6	3
5	11	14	9
5	15	7	4
5	9	6	3
6	8	13	8
1	1	6	6
1	1	7	7
1	1	7	7
1	1	8	8
1	1	8	7
1	4	10	4
1	5	8	8
1	5	9	7
1	10	10	9
2	13	7	4
3	11	9	1
3	15	6	0
4	4	7	6
4	4	11	10
4	10	7	6
4	11	6	6
4	11	9	7
4	6	9	4
5	5	6	4
5	5	8	5
5	5	9	5
5	11	8	4
5	13	7	5
5	8	8	4
6	11	6	3
6	2	7	2
