temp	usom	prefer	maciez	nind
alta	sim	X	leve	19
alta	sim	X	média	23
alta	sim	X	forte	24
alta	sim	M	leve	29
alta	sim	M	média	47
alta	sim	M	forte	43
alta	não	X	leve	29
alta	não	X	média	33
alta	não	X	forte	42
alta	não	M	leve	27
alta	não	M	média	23
alta	não	M	forte	30
baixa	sim	X	leve	57
baixa	sim	X	média	47
baixa	sim	X	forte	37
baixa	sim	M	leve	49
baixa	sim	M	média	55
baixa	sim	M	forte	52
baixa	não	X	leve	63
baixa	não	X	média	66
baixa	não	X	forte	68
baixa	não	M	leve	53
baixa	não	M	média	50
baixa	não	M	forte	42
