idade	ano	tempo	ncasos	tpessoas
<20	<1910	20-39	0	19.406
<20	<1910	>50	0	33.209
<20	1910-1914	30-39	0	179.501
<20	1915-1919	0-19	0	71.4
<20	1915-1919	40-49	0	210.773
<20	1920-1924	20-39	0	344.109
<20	1920-1924	>50	0	176.503
20-27	<1910	40-49	0	304.922
20-27	1910-1914	20-39	1	528.066
20-27	1910-1914	>50	2	97.982
20-27	1915-1919	30-39	0	206.343
20-27	1920-1924	0-19	0	1021.139
20-27	1920-1924	40-49	3	585.779
27.5-34.9	<1910	30-39	1	262.567
27.5-34.9	1910-1914	0-19	0	3.824
27.5-34.9	1910-1914	40-49	3	90.851
27.5-34.9	1915-1919	20-39	2	169.654
27.5-34.9	1915-1919	>50	1	0.84
27.5-34.9	1920-1924	30-39	1	458.838
>35	<1910	20-39	0	14.773
>35	1910-1914	0-19	0	3.176
>35	1910-1914	40-49	0	7.258
>35	1915-1919	30-39	1	68.881
>35	1920-1924	20-39	3	319.077
<20	<1910	30-39	0	70
<20	1910-1914	0-19	0	2.166
<20	1910-1914	40-49	1	121.217
<20	1915-1919	20-39	0	267.774
<20	1915-1919	>50	0	157.445
<20	1920-1924	30-39	0	315.17
20-27	<1910	20-39	1	174.418
20-27	<1910	>50	2	142.282
20-27	1910-1914	30-39	4	497.481
20-27	1915-1919	0-19	0	82.886
20-27	1915-1919	40-49	2	111.541
20-27	1920-1924	20-39	1	1088.072
20-27	1920-1924	>50	0	250.398
27.5-34.9	<1910	40-49	1	151.76
27.5-34.9	1910-1914	20-39	3	330.71
27.5-34.9	1910-1914	>50	0	19.54
27.5-34.9	1915-1919	30-39	1	111.962
27.5-34.9	1920-1924	0-19	0	679.445
27.5-34.9	1920-1924	40-49	1	183.701
>35	<1910	30-39	0	36.57
>35	1910-1914	20-39	2	164.801
>35	1915-1919	0-19	0	34.54
>35	1915-1919	40-49	0	4.382
>35	1920-1924	30-39	0	141.845
<20	<1910	40-49	0	52.836
<20	1910-1914	20-39	1	175.294
<20	1910-1914	>50	0	77.877
<20	1915-1919	30-39	0	267.714
<20	1920-1924	0-19	0	279.472
<20	1920-1924	40-49	0	267.32
20-27	<1910	30-39	2	521.768
20-27	1910-1914	0-19	0	3.831
20-27	1910-1914	40-49	2	279.542
20-27	1915-1919	20-39	0	253.653
20-27	1915-1919	>50	0	45.434
20-27	1920-1924	30-39	0	869.314
27.5-34.9	<1910	20-39	3	116.939
27.5-34.9	<1910	>50	1	32.238
27.5-34.9	1910-1914	30-39	2	265.273
27.5-34.9	1915-1919	0-19	0	49.453
27.5-34.9	1915-1919	40-49	0	55.06
27.5-34.9	1920-1924	20-39	0	686.531
27.5-34.9	1920-1924	>50	0	42.665
>35	<1910	40-49	0	17.29
>35	1910-1914	30-39	5	56.13
>35	1915-1919	20-39	2	124.253
>35	1920-1924	0-19	1	354.72
>35	1920-1924	40-49	0	17.203
