rato	period	trat	celubran	celuverm	celucanc
1	1	3	15	2	14
1	2	3	18	3	14
1	3	3	19	2	12
1	4	3	24	5	11
2	1	3	8	2	17
2	2	3	11	4	18
2	3	3	14	4	18
2	4	3	14	5	16
3	1	3	4	7	23
3	2	3	5	5	20
3	3	3	6	4	19
3	4	3	4	4	19
4	1	3	16	3	13
4	2	3	14	4	12
4	3	3	14	4	12
4	4	3	12	2	11
5	1	3	6	7	24
5	2	3	4	6	20
5	3	3	4	5	20
5	4	3	4	2	19
6	1	3	22	4	12
6	2	3	20	3	12
6	3	3	21	3	10
6	4	3	18	2	9
7	1	3	18	5	16
7	2	3	17	3	16
7	3	3	17	5	14
7	4	3	16	2	12
8	1	3	4	8	28
8	2	3	7	7	26
8	3	3	4	4	26
8	4	3	4	4	26
9	1	3	14	3	14
9	2	3	12	4	13
9	3	3	12	4	12
9	4	3	10	5	10
10	1	3	10	3	16
10	2	3	10	4	15
10	3	3	10	5	15
10	4	3	10	2	14
11	1	2	14	6	16
11	2	2	14	6	15
11	3	2	16	7	15
11	4	2	17	6	14
12	1	2	7	4	36
12	2	2	7	4	32
12	3	2	6	4	30
12	4	2	5	2	29
13	1	2	9	8	18
13	2	2	8	8	16
13	3	2	9	7	17
13	4	2	11	4	15
14	1	2	21	3	14
14	2	2	20	3	13
14	3	2	20	4	13
14	4	2	20	3	12
15	1	2	18	4	19
15	2	2	17	4	19
15	3	2	17	2	18
15	4	2	17	2	17
16	1	2	3	10	38
16	2	2	6	10	38
16	3	2	6	8	37
16	4	2	2	7	37
17	1	2	8	3	18
17	2	2	9	3	18
17	3	2	9	2	17
17	4	2	8	2	16
18	1	2	29	6	8
18	2	2	30	6	8
18	3	2	29	5	7
18	4	2	29	4	6
19	1	2	8	9	19
19	2	2	8	9	19
19	3	2	8	8	18
19	4	2	7	8	17
20	1	2	5	8	36
20	2	2	4	7	35
20	3	2	4	7	30
20	4	2	3	7	29
21	1	1	16	2	15
21	2	1	17	3	16
21	3	1	17	4	17
21	4	1	18	2	15
22	1	1	13	6	17
22	2	1	11	4	16
22	3	1	12	5	16
22	4	1	12	4	18
23	1	1	7	3	28
23	2	1	8	2	25
23	3	1	6	2	27
23	4	1	5	2	31
24	1	1	9	4	29
24	2	1	8	5	30
24	3	1	9	3	32
24	4	1	9	3	30
25	1	1	18	3	11
25	2	1	19	2	12
25	3	1	21	5	12
25	4	1	20	4	13
26	1	1	23	5	8
26	2	1	25	5	10
26	3	1	24	4	9
26	4	1	24	4	8
27	1	1	27	7	7
27	2	1	28	6	7
27	3	1	27	6	8
27	4	1	30	4	7
28	1	1	30	6	4
28	2	1	32	7	5
28	3	1	33	8	5
28	4	1	35	7	4
29	1	1	17	4	14
29	2	1	19	3	13
29	3	1	20	3	13
29	4	1	21	2	12
30	1	1	12	3	17
30	2	1	12	5	15
30	3	1	13	4	16
30	4	1	11	5	16
