turb	tempo
tipo I	3.03
tipo I	5.53
tipo I	5.6
tipo I	9.3
tipo I	9.92
tipo I	12.51
tipo I	12.95
tipo I	15.21
tipo I	16.04
tipo I	16.84
tipo II	3.19
tipo II	4.26
tipo II	4.47
tipo II	4.53
tipo II	4.67
tipo II	4.69
tipo II	5.78
tipo II	6.79
tipo II	9.37
tipo II	12.75
tipo III	3.46
tipo III	5.22
tipo III	5.69
tipo III	6.54
tipo III	9.16
tipo III	9.4
tipo III	10.19
tipo III	10.71
tipo III	12.58
tipo III	13.41
tipo IV	5.88
tipo IV	6.74
tipo IV	6.9
tipo IV	6.98
tipo IV	7.21
tipo IV	8.14
tipo IV	8.59
tipo IV	9.8
tipo IV	12.28
tipo IV	25.46
tipo V	6.43
tipo V	9.97
tipo V	10.39
tipo V	13.55
tipo V	14.45
tipo V	14.72
tipo V	16.81
tipo V	18.39
tipo V	20.84
tipo V	21.51
