dens	susp	exp	esp
1.019	11	58	Polyarthra
1.020	7	86	Polyarthra
1.021	10	76	Polyarthra
1.030	19	83	Polyarthra
1.030	9	56	Polyarthra
1.030	21	73	Polyarthra
1.031	13	29	Polyarthra
1.040	34	44	Polyarthra
1.040	10	31	Polyarthra
1.041	36	56	Polyarthra
1.048	20	27	Polyarthra
1.049	54	59	Polyarthra
1.050	20	22	Polyarthra
1.050	9	14	Polyarthra
1.060	14	17	Polyarthra
1.061	10	22	Polyarthra
1.063	64	66	Polyarthra
1.070	68	86	Polyarthra
1.070	488	492	Polyarthra
1.070	88	89	Polyarthra
1.019	13	161	Keratella
1.020	14	248	Keratella
1.021	30	234	Keratella
1.030	10	283	Keratella
1.030	14	129	Keratella
1.030	35	161	Keratella
1.031	26	167	Keratella
1.040	32	286	Keratella
1.040	22	117	Keratella
1.041	23	162	Keratella
1.048	7	42	Keratella
1.049	22	48	Keratella
1.050	9	49	Keratella
1.050	34	160	Keratella
1.060	71	74	Keratella
1.061	25	45	Keratella
1.063	94	101	Keratella
1.070	63	68	Keratella
1.070	178	190	Keratella
1.070	154	154	Keratella
