doenca	colest	pa	nind
sim	<200	<127	2
sim	<200	127-146	3
sim	<200	147-166	3
sim	<200	>166	4
sim	200-219	<127	3
sim	200-219	127-146	2
sim	200-219	147-166	1
sim	200-219	>166	3
sim	220-259	<127	8
sim	220-259	127-146	11
sim	220-259	147-166	6
sim	220-259	>166	6
sim	>259	<127	7
sim	>259	127-146	12
sim	>259	147-166	11
sim	>259	>166	11
não	<200	<127	117
não	<200	127-146	121
não	<200	147-166	47
não	<200	>166	22
não	200-219	<127	85
não	200-219	127-146	98
não	200-219	147-166	43
não	200-219	>166	20
não	220-259	<127	119
não	220-259	127-146	209
não	220-259	147-166	68
não	220-259	>166	43
não	>259	<127	67
não	>259	127-146	99
não	>259	147-166	46
não	>259	>166	33
