nass	domic	perc	renda	taxa	custo	ncabo	ntv
105	350	30	9839	14.95	10	16	13
90	255.631	35.207	10606	15	7.5	15	11
14	31	45.161	10455	15	7	11	9
11.7	34.84	33.582	8958	10	7	22	10
46	153.434	29.98	11741	25	10	20	12
11.217	26.621	42.136	9378	15	7.66	18	8
12	18	66.667	10433	15	7.5	12	8
6.428	9.324	68.94	10167	15	7	17	7
20.1	32	62.813	9218	10	5.6	10	8
8.5	28	30.357	10519	15	6.5	6	6
1.6	8	20	10025	17.5	7.5	8	6
1.1	5	22	9714	15	8.95	9	9
4.355	15.204	28.644	9294	10	7	7	7
78.91	97.889	80.612	9784	24.95	9.49	12	7
19.6	93	21.075	8173	20	7.5	9	7
1	3	33.333	8967	9.95	10	13	6
1.65	2.6	63.462	10133	25	7.55	6	5
13.4	18.284	73.288	9361	15.5	6.3	11	5
18.708	55	34.015	9085	15	7	16	6
1.352	1.7	79.529	10067	20	5.6	6	6
170	270	62.963	8908	15	8.75	15	5
15.388	46.54	33.064	9632	15	8.73	9	6
6.555	20.417	32.106	8995	5.95	5.95	10	6
40	120	33.333	7787	25	6.5	10	5
19.9	46.39	42.897	8890	15	7.5	9	7
2.45	14.5	16.897	8041	9.95	6.25	6	4
3.762	9.5	36.9	8605	20	6.5	6	5
24.882	81.98	30.351	8639	18	7.5	8	4
21.187	39.7	53.368	8781	20	6	9	4
3.487	4.113	84.78	8551	10	6.85	11	4
3	8	37.5	9306	10	7.95	9	6
42.1	99.75	42.206	8346	9.95	5.73	8	5
20.35	33.379	60.966	8803	15	7.5	8	4
23.15	35.5	65.211	8942	17.5	6.5	8	5
9.866	34.775	28.371	8591	15	8.25	11	4
42.608	64.84	65.713	9163	10	6	11	6
10.371	30.556	33.941	7683	20	7.5	8	6
5.164	16.5	31.297	7924	14.95	6.95	8	5
31.15	70.515	44.175	8454	9.95	7	10	4
18.35	42.04	43.649	8429	20	7	6	4
