grupo	salin	tempo	animais
petroleo	0.8	12	30
petroleo	0.8	24	26
petroleo	0.8	36	20
petroleo	0.8	48	17
petroleo	0.8	60	16
petroleo	0.8	72	15
petroleo	1.4	12	32
petroleo	1.4	24	31
petroleo	1.4	36	31
petroleo	1.4	48	29
petroleo	1.4	60	27
petroleo	1.4	72	22
petroleo	2.4	12	32
petroleo	2.4	24	30
petroleo	2.4	36	29
petroleo	2.4	48	26
petroleo	2.4	60	26
petroleo	2.4	72	21
petroleo	3.4	12	32
petroleo	3.4	24	30
petroleo	3.4	36	29
petroleo	3.4	48	27
petroleo	3.4	60	27
petroleo	3.4	72	21
controle	0.8	12	31
controle	0.8	24	27
controle	0.8	36	25
controle	0.8	48	19
controle	0.8	60	18
controle	0.8	72	18
controle	1.4	12	32
controle	1.4	24	31
controle	1.4	36	31
controle	1.4	48	31
controle	1.4	60	31
controle	1.4	72	30
controle	2.4	12	32
controle	2.4	24	31
controle	2.4	36	31
controle	2.4	48	28
controle	2.4	60	27
controle	2.4	72	26
controle	3.4	12	32
controle	3.4	24	32
controle	3.4	36	30
controle	3.4	48	30
controle	3.4	60	29
controle	3.4	72	28
