exper	rept	N	P	K	y
I	1	1	1	1	4.2
I	1	1	1	2	3.6
I	1	2	1	1	3.2
I	1	2	1	2	3.6
I	1	0	0	0	2.4
I	2	1	1	1	2.4
I	2	1	1	2	2.2
I	2	2	1	1	2.6
I	2	2	1	2	2.8
I	2	0	0	0	1.2
I	3	1	1	1	2.8
I	3	1	1	2	1.8
I	3	2	1	1	3
I	3	2	1	2	3
I	3	0	0	0	3
I	4	1	1	1	3.2
I	4	1	1	2	3.2
I	4	2	1	1	2
I	4	2	1	2	2.4
I	4	0	0	0	2.8
II	1	1	1	1	11
II	1	1	1	2	10
II	1	2	1	1	12
II	1	2	1	2	10.5
II	1	0	0	0	8.5
II	2	1	1	1	10.5
II	2	1	1	2	9.5
II	2	2	1	1	9
II	2	2	1	2	11.5
II	2	0	0	0	8
II	3	1	1	1	9
II	3	1	1	2	9
II	3	2	1	1	9.5
II	3	2	1	2	10.5
II	3	0	0	0	10
II	4	1	1	1	9
II	4	1	1	2	8
II	4	2	1	1	9.5
II	4	2	1	2	10
II	4	0	0	0	7
III	1	1	1	1	7
III	1	1	1	2	8.5
III	1	2	1	1	9
III	1	2	1	2	9
III	1	0	0	0	7
III	2	1	1	1	7.5
III	2	1	1	2	7
III	2	2	1	1	6
III	2	2	1	2	9.5
III	2	0	0	0	7
III	3	1	1	1	6.5
III	3	1	1	2	8
III	3	2	1	1	6
III	3	2	1	2	8
III	3	0	0	0	4.5
III	4	1	1	1	5.5
III	4	1	1	2	5.5
III	4	2	1	1	5.5
III	4	2	1	2	7
III	4	0	0	0	6
IV	1	1	1	1	8
IV	1	1	1	2	8
IV	1	2	1	1	7
IV	1	2	1	2	9
IV	1	0	0	0	3.5
IV	2	1	1	1	6.9
IV	2	1	1	2	5.5
IV	2	2	1	1	4.7
IV	2	2	1	2	6.5
IV	2	0	0	0	3
IV	3	1	1	1	6
IV	3	1	1	2	7.5
IV	3	2	1	1	5.5
IV	3	2	1	2	5.5
IV	3	0	0	0	3.9
IV	4	1	1	1	6.5
IV	4	1	1	2	8
IV	4	2	1	1	9
IV	4	2	1	2	7
IV	4	0	0	0	7
V	1	1	1	1	1.72
V	1	1	1	2	2.38
V	1	2	1	1	2.52
V	1	2	1	2	2.78
V	1	0	0	0	1.48
V	2	1	1	1	1.81
V	2	1	1	2	2.56
V	2	2	1	1	2.88
V	2	2	1	2	3.01
V	2	0	0	0	1.62
V	3	1	1	1	1.73
V	3	1	1	2	2.48
V	3	2	1	1	2.76
V	3	2	1	2	2.83
V	3	0	0	0	1.58
V	4	1	1	1	1.62
V	4	1	1	2	2.43
V	4	2	1	1	2.54
V	4	2	1	2	2.79
V	4	0	0	0	1.56
