rept	bloc	hibr	prod
1	1	1	2
1	2	5	2.3
1	3	9	1.6
1	4	13	2.3
1	1	2	2.9
1	2	6	2.5
1	3	10	3
1	4	14	3.4
1	1	3	2.2
1	2	7	1.4
1	3	11	1.5
1	4	15	2
1	1	4	3.9
1	2	8	1.7
1	3	12	2.1
1	4	16	2.8
2	1	1	2.2
2	2	2	3.1
2	3	3	3.1
2	4	4	4
2	1	5	2.3
2	2	6	2.8
2	3	7	2.9
2	4	8	2.8
2	1	9	2.7
2	2	10	2.6
2	3	11	2.5
2	4	12	2.7
2	1	13	1.4
2	2	14	2.8
2	3	15	2.4
2	4	16	1.5
3	1	1	3
3	2	2	1.8
3	3	3	1.7
3	4	4	4.4
3	1	6	2.9
3	2	5	1.9
3	3	8	2
3	4	7	3.7
3	1	11	2.6
3	2	12	2.9
3	3	9	1.4
3	4	10	3.3
3	1	16	3.1
3	2	15	2.5
3	3	14	2.3
3	4	13	2.2
