bloc	grupo	carga	braquiaria	peso
1	1	0.9	humidicola	312
1	2	0.9	humidicola	350
1	3	0.9	humidicola	341
1	4	0.9	humidicola	380
1	1	0.9	ruziziensis	312
1	2	0.9	ruziziensis	345
1	3	0.9	ruziziensis	381
1	4	0.9	ruziziensis	340
1	1	0.9	decumbens	294
1	2	0.9	decumbens	360
1	3	0.9	decumbens	368
1	4	0.9	decumbens	400
1	1	1.5	humidicola	268
1	2	1.5	humidicola	355
1	3	1.5	humidicola	343
1	4	1.5	humidicola	333
1	1	1.5	ruziziensis	265
1	2	1.5	ruziziensis	345
1	3	1.5	ruziziensis	319
1	4	1.5	ruziziensis	407
1	1	1.5	decumbens	310
1	2	1.5	decumbens	288
1	3	1.5	decumbens	334
1	4	1.5	decumbens	335
2	5	0.9	humidicola	316
2	6	0.9	humidicola	325
2	7	0.9	humidicola	341
2	8	0.9	humidicola	364
2	5	0.9	ruziziensis	266
2	6	0.9	ruziziensis	370
2	7	0.9	ruziziensis	396
2	8	0.9	ruziziensis	377
2	5	0.9	decumbens	340
2	6	0.9	decumbens	363
2	7	0.9	decumbens	357
2	8	0.9	decumbens	390
2	5	1.5	humidicola	318
2	6	1.5	humidicola	247
2	7	1.5	humidicola	285
2	8	1.5	humidicola	295
2	5	1.5	ruziziensis	234
2	6	1.5	ruziziensis	341
2	7	1.5	ruziziensis	362
2	8	1.5	ruziziensis	349
2	5	1.5	decumbens	300
2	6	1.5	decumbens	347
2	7	1.5	decumbens	350
2	8	1.5	decumbens	338
