bloc	varied	X	Y
1	455	3	2.5
1	Choosen	4	3.5
1	Otootan	4	1
1	MYellow	3	1.25
1	482	3	3
1	675	3.5	2.5
1	Arksoy	4.25	0.5
1	Georgian	3	3.75
1	MorroAgudo	3.25	2
1	Avare	2.25	2.5
1	PBarreto	3	3.5
1	Acadian	3	1
1	Manloxi	3.5	3
1	581	3	1.75
1	RGrande	4	2.5
2	455	2.5	2
2	Choosen	3.75	3.25
2	Otootan	4	1.5
2	MYellow	4	1.75
2	482	4	3
2	675	1.5	1.5
2	Arksoy	3	2.25
2	Georgian	3.75	3.75
2	MorroAgudo	3	2
2	Avare	4	2.75
2	PBarreto	4.5	4.5
2	Acadian	3.25	2.5
2	Manloxi	2.25	1.75
2	581	3.25	1.5
2	RGrande	3.25	2
3	455	5	2
3	Choosen	2	2
3	Otootan	3.5	1.5
3	MYellow	3.25	3.5
3	482	2.5	2.75
3	675	3.25	2
3	Arksoy	4.5	2.5
3	Georgian	4.25	5
3	MorroAgudo	4.5	2
3	Avare	3	1.25
3	PBarreto	2.75	4
3	Acadian	4.5	3
3	Manloxi	3.5	3.5
3	581	4	2.75
3	RGrande	3.5	2.75
4	455	3.25	2.5
4	Choosen	3.5	2.5
4	Otootan	3.75	0.25
4	MYellow	2.75	2
4	482	2	1.75
4	675	4	2.5
4	Arksoy	2.5	2.75
4	Georgian	2.5	4.5
4	MorroAgudo	2.5	1
4	Avare	2.75	2.75
4	PBarreto	3	3.25
4	Acadian	3.25	3
4	Manloxi	2.75	0.75
4	581	3	1.25
4	RGrande	2.75	1.75
